n;swaps;comparisons
100;171;351
200;466;707
300;557;1484
400;764;1976
500;968;2474
600;1208;2974
700;1433;3493
800;1691;4936
900;1931;5700
1000;2147;6336
1100;2355;6968
1200;2577;7602
1300;2798;8235
1400;3036;8875
1500;3218;9509
1600;3458;10142
1700;3710;10781
1800;3879;11431
1900;4100;12122
2000;4329;12869
2100;4510;13754
2200;4784;14783
2300;5133;16060
2400;5568;17595
2500;5968;18915
2600;6247;19953
2700;6523;20860
2800;6790;21683
2900;6984;22470
3000;7238;23254
3100;7502;24038
3200;7659;24817
3300;7942;25594
3400;8181;26371
3500;8408;27151
3600;8615;27932
3700;8866;28706
3800;9092;29485
3900;9322;30281
4000;9539;31077
4100;9746;31856
4200;10013;32668
4300;10247;33478
4400;10503;34293
4500;10755;35150
4600;10965;35990
4700;11279;36865
4800;11498;37747
4900;11737;38682
5000;11989;39583
5100;12242;40527
5200;12511;41514
5300;12788;42427
5400;13033;43414
5500;13324;44460
5600;13616;45452
5700;13884;46523
5800;14215;47540
5900;14462;48568
6000;14744;49588
6100;14980;50631
6200;15209;51637
6300;15536;52700
6400;15781;53736
6500;16070;54807
6600;16420;55896
6700;16667;57054
6800;16970;58097
6900;17246;59236
7000;17570;60364
7100;17881;61510
7200;18138;62726
7300;18472;63896
7400;18823;65161
7500;19118;66394
7600;19467;67674
7700;19798;68917
7800;20185;70207
7900;20443;71372
8000;20778;72675
8100;21076;73869
8200;21447;75115
8300;21673;76244
8400;21963;77532
8500;22290;78700
8600;22682;79986
8700;22956;81170
8800;23240;82355
8900;23615;83529
9000;23864;84675
9100;24126;85807
9200;24423;87026
9300;24766;88188
9400;25000;89262
9500;25349;90472
9600;25619;91619
9700;25888;92751
9800;26183;93931
9900;26453;94898
10000;26763;96105
10100;27012;97289
10200;27280;98373
10300;27586;99474
10400;27850;100628
10500;28141;101772
10600;28415;102876
10700;28729;104093
10800;29038;105200
10900;29243;106259
11000;29572;107465
11100;29832;108538
11200;30103;109702
11300;30439;110985
11400;30676;111959
11500;30990;113213
11600;31256;114324
11700;31508;115511
11800;31847;116722
11900;32120;117881
12000;32419;119073
12100;32716;120322
12200;32998;121457
12300;33341;122700
12400;33551;123775
12500;33906;125142
12600;34232;126384
12700;34502;127515
12800;34739;128676
12900;35075;129900
13000;35353;131023
13100;35680;132363
13200;35937;133633
13300;36292;134814
13400;36584;136047
13500;36872;137250
13600;37148;138512
13700;37483;139768
13800;37753;141013
13900;38047;142232
14000;38393;143586
14100;38735;144922
14200;39031;146131
14300;39306;147305
14400;39679;148684
14500;39935;149828
14600;40263;151124
14700;40557;152404
14800;40843;153575
14900;41161;154849
15000;41493;156223
15100;41826;157585
15200;42134;158843
15300;42437;160120
15400;42753;161353
15500;43127;162670
15600;43400;163950
15700;43729;165295
15800;44002;166448
15900;44321;167773
16000;44648;169019
16100;44952;170419
16200;45283;171719
16300;45567;172827
16400;45937;174227
16500;46257;175577
16600;46519;176777
16700;46853;178138
16800;47134;179303
16900;47454;180444
17000;47764;181797
17100;48076;183156
17200;48379;184357
17300;48733;185683
17400;49009;186822
17500;49318;188034
17600;49635;189287
17700;49917;190461
17800;50257;191855
17900;50560;193070
18000;50869;194335
18100;51166;195620
18200;51428;196572
18300;51771;198021
18400;52089;199272
18500;52348;200364
18600;52683;201695
18700;52968;203007
18800;53220;204184
18900;53604;205358
19000;53833;206599
19100;54141;207744
19200;54438;208944
19300;54776;210154
19400;55067;211496
19500;55357;212639
19600;55594;213754
19700;55887;214888
19800;56204;216308
19900;56519;217574
20000;56784;218665
20100;57074;219872
20200;57342;221022
20300;57687;222238
20400;57998;223417
20500;58272;224704
20600;58581;225861
20700;58877;227180
20800;59151;228342
20900;59413;229471
21000;59715;230709
21100;60046;231890
21200;60264;233109
21300;60549;234182
21400;60888;235493
21500;61155;236571
21600;61439;237697
21700;61771;239037
21800;62035;240168
21900;62291;241474
22000;62579;242743
22100;62880;243779
22200;63196;245150
22300;63445;246381
22400;63728;247576
22500;64023;248635
22600;64342;250106
22700;64617;251082
22800;64861;252446
22900;65166;253724
23000;65416;254881
23100;65769;256144
23200;66043;257362
23300;66312;258441
23400;66598;259723
23500;66826;260848
23600;67195;262265
23700;67485;263487
23800;67795;264846
23900;68041;265983
24000;68360;267267
24100;68627;268561
24200;68876;269523
