n;swaps;comparisons
100;489;354
200;1042;974
300;1609;1687
400;2200;2526
500;2803;3288
600;3398;4164
700;4018;5106
800;4683;5907
900;5248;6941
1000;5927;7952
1100;6582;8934
1200;7137;9982
1300;7784;11018
1400;8441;11994
1500;8886;13043
1600;9638;14060
1700;10185;15114
1800;10916;16248
1900;11386;17413
2000;12091;18451
2100;12782;19506
2200;13366;20706
2300;13885;21909
2400;14623;23005
2500;15193;24237
2600;15827;25491
2700;16453;26430
2800;17179;27956
2900;17506;28803
3000;18348;30021
3100;18712;31314
3200;19347;32636
3300;19953;33891
3400;20636;34781
3500;21153;35821
3600;21692;37376
3700;22501;38621
3800;22897;40027
3900;23480;41677
4000;23850;42565
4100;24342;44029
4200;25133;44842
4300;25783;46205
4400;26180;47468
4500;26833;48752
4600;27435;50397
4700;27762;51177
4800;28240;52503
4900;29289;53836
5000;29615;55196
5100;29743;56142
5200;30505;58169
5300;30935;59244
5400;31715;60264
5500;32427;61816
5600;32272;63524
5700;33175;64349
5800;33790;66212
5900;33966;67472
6000;34452;68319
6100;35076;69686
6200;35537;71202
6300;36165;72824
6400;36426;73791
6500;37024;75796
6600;37285;77092
6700;38105;78129
6800;38960;79677
6900;39594;80241
7000;39322;81641
7100;39938;83647
7200;40404;85127
7300;41011;85883
7400;41442;87478
7500;42053;89700
7600;42345;90781
7700;43012;91140
7800;42853;93702
7900;44087;95670
8000;44264;95730
8100;44960;97187
8200;44845;99174
8300;45451;99878
8400;46003;101555
8500;46435;103203
8600;46770;105145
8700;47165;106623
8800;47571;107279
8900;47666;108913
9000;48651;110243
9100;48842;111882
9200;48703;112474
9300;49835;115229
9400;50053;116200
9500;50976;117728
9600;51149;118252
9700;51634;120506
9800;51818;122470
9900;52312;124180
10000;52521;124420
10100;53005;125859
10200;53445;128094
10300;54147;129319
10400;54321;130902
10500;54804;132218
10600;54327;134620
10700;55353;135995
10800;55794;136390
10900;56694;138193
11000;56671;139049
11100;56783;141247
11200;57076;142307
11300;57915;144238
11400;57348;145628
11500;59468;146136
11600;60246;149721
11700;59147;149372
11800;59815;150941
11900;60270;151517
12000;60736;155002
12100;61098;155759
12200;61970;156551
12300;61253;160265
12400;62150;160573
12500;61872;161832
12600;62889;163960
12700;63165;164663
12800;63178;167423
12900;63435;169087
