n;swaps;comparisons
100;4945;4949
200;19880;19898
300;44804;44845
400;79721;79791
500;124626;124732
600;179518;179668
700;244405;244601
800;319277;319527
900;404144;404451
1000;499001;499368
1100;603849;604279
1200;718679;719180
1300;843506;844078
1400;978320;978965
1500;1123128;1123850
1600;1277920;1278722
1700;1442706;1443587
1800;1617481;1618446
1900;1802248;1803296
2000;1997002;1998137
2100;2201745;2202967
2200;2416479;2417789
2300;2641204;2642604
2400;2875914;2877404
2500;3120633;3122214
2600;3375322;3376996
2700;3640005;3641771
2800;3914682;3916543
2900;4199357;4201310
3000;4494018;4496066
3100;4798649;4800794
3200;5113295;5115534
3300;5437903;5440239
3400;5772515;5774948
3500;6117137;6119666
3600;6471727;6474354
3700;6836303;6839027
3800;7210889;7213710
3900;7595453;7598372
4000;7990017;7993035
4100;8394570;8397686
4200;8809103;8812317
4300;9233617;9236930
4400;9668116;9671527
4500;10112646;10116156
4600;10567120;10570729
4700;11031601;11035310
4800;11506105;11509912
4900;11990573;11994480
5000;12485020;12489025
5100;12989477;12993582
5200;13503889;13508094
5300;14028317;14032621
5400;14562723;14567127
5500;15107141;15111644
5600;15661521;15666124
5700;16225917;16230619
5800;16800332;16805134
5900;17384683;17389584
6000;17978998;17983999
6100;18583371;18588472
6200;19197707;19202908
6300;19822029;19827330
6400;20456335;20461736
6500;21100662;21106162
