n;swaps;comparisons
100;2468;2563
200;9852;10047
300;22397;22691
400;39916;40310
500;62037;62530
600;89976;90569
700;122263;122956
800;159282;160075
900;202073;202966
1000;249623;250616
1100;302487;303580
1200;359732;360925
1300;423307;424599
1400;489440;490833
1500;563178;564671
1600;638327;639920
1700;721232;722924
1800;805465;807257
1900;898411;900304
2000;996632;998625
2100;1099582;1101675
2200;1212314;1214507
2300;1317412;1319704
2400;1435717;1438110
2500;1559571;1562064
2600;1686574;1689167
2700;1820609;1823302
2800;1956797;1959589
2900;2103833;2106726
3000;2247868;2250861
3100;2401466;2404559
3200;2557015;2560208
3300;2714595;2717887
3400;2884654;2888046
3500;3064321;3067813
3600;3236269;3239861
3700;3418186;3421879
3800;3606854;3610647
3900;3788385;3792278
4000;3988069;3992061
4100;4199399;4203492
4200;4394459;4398652
4300;4614939;4619231
4400;4838488;4842881
4500;5054816;5059309
4600;5287271;5291864
4700;5521253;5525946
4800;5752104;5756896
4900;5984474;5989366
5000;6240038;6245031
5100;6497831;6502924
5200;6743712;6748905
5300;7011986;7017278
5400;7282910;7288303
5500;7551881;7557373
5600;7823910;7829502
5700;8116845;8122538
5800;8403407;8409200
5900;8692085;8697978
6000;8983819;8989812
6100;9287665;9293758
6200;9601131;9607324
6300;9898346;9904639
6400;10237233;10243625
6500;10542021;10548513
6600;10881828;10888420
6700;11206115;11212808
6800;11549241;11556033
6900;11886155;11893047
7000;12231890;12238882
7100;12591228;12598320
7200;12936798;12943991
7300;13305309;13312601
7400;13662461;13669854
7500;14050040;14057533
7600;14428031;14435623
7700;14795157;14802849
7800;15175254;15183047
7900;15571344;15579237
8000;15986242;15994234
8100;16393379;16401471
8200;16792463;16800655
8300;17202446;17210739
8400;17612896;17621289
8500;18028787;18037280
8600;18480706;18489298
8700;18888807;18897500
8800;19339693;19348485
8900;19820590;19829482
9000;20251342;20260334
9100;20698251;20707344
9200;21124147;21133340
9300;21600704;21609996
9400;22059181;22068574
9500;22540568;22550060
9600;23003831;23013424
9700;23500058;23509751
9800;23989693;23999485
9900;24453780;24463672
10000;24988472;24998465
10100;25478266;25488359
10200;25994689;26004882
10300;26497551;26507843
10400;27043496;27053888
10500;27510263;27520756
10600;28051713;28062305
10700;28597239;28607932
10800;29105223;29116015
10900;29687853;29698746
11000;30212712;30223704
11100;30769746;30780838
11200;31332187;31343380
11300;31922845;31934138
11400;32430637;32442030
11500;33011858;33023350
11600;33613406;33624998
11700;34178534;34190225
11800;34801151;34812943
11900;35355172;35367064
12000;35957731;35969724
12100;36561325;36573417
12200;37176089;37188281
12300;37772107;37784399
12400;38385946;38398339
12500;39010444;39022936
12600;39637435;39650027
12700;40296498;40309191
12800;40920779;40933571
12900;41559825;41572718
13000;42166849;42179842
13100;42883773;42896865
13200;43489502;43502694
13300;44200429;44213721
13400;44855505;44868898
13500;45455677;45469169
13600;46135670;46149262
13700;46878759;46892452
13800;47563336;47577128
13900;48263839;48277732
14000;48952044;48966037
14100;49685754;49699847
14200;50363866;50378059
14300;51028988;51043280
14400;51783313;51797706
14500;52501836;52516328
14600;53249824;53264416
14700;53918915;53933608
14800;54621792;54636584
14900;55409774;55424667
15000;56210962;56225955
15100;57001090;57016183
15200;57658959;57674151
15300;58496330;58511622
15400;59201933;59217325
15500;60020541;60036033
15600;60766742;60782334
15700;61561294;61576987
15800;62396074;62411866
15900;63145768;63161661
16000;63941004;63956996
16100;64792523;64808616
16200;65512736;65528928
16300;66334499;66350791
16400;67127960;67144352
16500;68021753;68038246
16600;68786137;68802730
16700;69638002;69654695
16800;70483677;70500470
16900;71302014;71318906
17000;72164140;72181133
17100;73038543;73055636
17200;73931149;73948341
17300;74746619;74763913
17400;75721690;75739082
