n;swaps;comparisons
100;670;319
200;1537;744
300;2469;1204
400;3459;1711
500;4431;2273
600;5506;2753
700;6590;3313
800;7668;3908
900;8716;4503
1000;9764;5148
1100;10911;5692
1200;12092;6272
1300;13269;6917
1400;14434;7553
1500;15595;8246
1600;16732;8891
1700;17857;9504
1800;18982;10209
1900;20090;10862
2000;21195;11599
2100;22383;12263
2200;23654;12874
2300;24927;13587
2400;26187;14253
2500;27448;15003
2600;28704;15740
2700;29935;16424
2800;31170;17182
2900;32395;17921
3000;33615;18729
3100;34827;19511
3200;36014;20148
3300;37212;20809
3400;38404;21506
3500;39588;22241
3600;40773;23035
3700;41932;23692
3800;43090;24414
3900;44245;25165
4000;45386;25945
4100;46539;26797
4200;47901;27436
4300;49259;28158
4400;50621;28938
4500;51972;29722
4600;53325;30613
4700;54658;31335
4800;55995;32146
4900;57327;32990
5000;58650;33855
5100;59976;34783
5200;61281;35516
5300;62564;36237
5400;63861;37032
5500;65162;37843
5600;66452;38702
5700;67727;39490
5800;68995;40271
5900;70251;41135
6000;71505;41960
6100;72755;42844
6200;74032;43632
6300;75292;44289
6400;76578;45073
6500;77836;45763
6600;79099;46570
6700;80361;47352
6800;81612;48103
6900;82852;48896
7000;84096;49685
7100;85330;50540
7200;86574;51374
7300;87778;52034
7400;88978;52737
7500;90184;53464
7600;91371;54208
7700;92584;55056
7800;93759;55750
7900;94936;56520
8000;96117;57323
8100;97291;58140
8200;98507;59060
8300;99932;59771
8400;101372;60588
8500;102829;61452
8600;104277;62345
8700;105727;63335
8800;107146;64146
8900;108571;65038
9000;110019;65983
9100;111445;66953
9200;112875;67996
9300;114265;68779
9400;115653;69608
9500;117037;70467
9600;118436;71382
9700;119808;72298
9800;121179;73164
9900;122570;74085
10000;123943;75041
10100;125306;75971
10200;126665;76971
10300;128053;77855
10400;129405;78593
10500;130774;79457
10600;132128;80228
10700;133494;81124
10800;134859;81989
10900;136215;82833
11000;137524;83699
11100;138905;84600
11200;140213;85534
11300;141577;86473
11400;142873;87211
11500;144174;88008
11600;145490;88832
11700;146803;89714
11800;148089;90599
11900;149391;91432
12000;150677;92298
12100;151938;93148
12200;153235;94090
12300;154520;95055
12400;155860;95736
12500;157218;96493
12600;158572;97299
12700;159930;98130
12800;161281;99074
12900;162609;99799
13000;163965;100682
13100;165275;101492
13200;166621;102420
13300;167942;103388
13400;169258;104121
13500;170551;104879
13600;171844;105686
13700;173148;106520
13800;174431;107383
13900;175730;108187
14000;177001;109004
14100;178276;109884
14200;179547;110775
14300;180834;111713
14400;182101;112490
14500;183367;113144
14600;184657;113939
14700;185904;114654
14800;187163;115447
14900;188430;116252
15000;189681;116994
15100;190938;117843
15200;192179;118616
15300;193448;119508
15400;194689;120359
15500;195867;120971
15600;197091;121723
15700;198307;122478
15800;199527;123276
15900;200749;124093
16000;201914;124815
16100;203147;125648
16200;204334;126459
16300;205534;127327
16400;206745;128185
16500;208295;129042
16600;209836;129991
16700;211358;130915
16800;212916;131933
16900;214472;133012
17000;215967;133912
17100;217518;134962
17200;219048;135978
17300;220538;136991
17400;222105;138214
17500;223561;139037
17600;225045;139963
17700;226530;140921
17800;228000;141891
17900;229530;142981
18000;230970;143899
18100;232451;144879
18200;233967;146012
18300;235396;147012
18400;236860;148101
18500;238350;149082
18600;239821;149924
18700;241291;150865
18800;242733;151739
18900;244183;152742
19000;245629;153663
19100;247063;154584
19200;248536;155639
19300;249998;156600
19400;251405;157597
19500;252810;158551
19600;254266;159491
19700;255703;160405
19800;257052;161244
19900;258485;162252
20000;259889;163238
20100;261297;164184
20200;262666;165113
20300;264026;166061
20400;265475;167191
20500;266840;168162
20600;268279;168920
20700;269737;169834
20800;271154;170672
20900;272654;171698
21000;274093;172673
21100;275505;173521
21200;276962;174471
21300;278402;175438
21400;279825;176422
21500;281252;177493
21600;282661;178251
21700;284028;179120
21800;285404;179974
21900;286837;180944
22000;288236;181950
22100;289604;182812
22200;290993;183732
22300;292383;184719
22400;293772;185740
22500;295190;186840
22600;296514;187610
22700;297856;188324
22800;299284;189247
22900;300584;189998
23000;301966;190922
23100;303336;191811
23200;304656;192646
23300;306069;193666
23400;307409;194558
23500;308768;195532
23600;310134;196453
23700;311410;197160
23800;312727;198000
23900;314058;198871
24000;315354;199743
24100;316702;200704
24200;317998;201529
24300;319249;202382
24400;320528;203235
24500;321870;204270
24600;323188;205211
24700;324688;206089
24800;326058;206825
24900;327565;207800
25000;328887;208560
25100;330364;209594
25200;331799;210458
25300;333229;211395
25400;334659;212296
25500;336091;213291
25600;337519;214425
25700;338928;215185
25800;340303;215990
25900;341706;216909
26000;343020;217703
26100;344514;218875
26200;345862;219684
26300;347204;220550
26400;348649;221622
26500;349990;222537
26600;351346;223559
26700;352732;224384
26800;354026;225057
26900;355482;226066
27000;356787;226762
27100;358201;227732
27200;359491;228481
27300;360861;229380
27400;362261;230407
27500;363549;231185
27600;364914;232192
27700;366232;233059
27800;367552;233832
27900;368902;234719
28000;370210;235509
28100;371458;236345
28200;372802;237251
28300;374072;238065
28400;375378;238892
28500;376683;239906
28600;378016;240927
28700;379261;241732
28800;380674;242540
28900;381956;243205
29000;383317;244089
29100;384700;244982
29200;386024;245778
29300;387362;246571
29400;388736;247465
29500;390009;248277
29600;391403;249313
29700;392754;250276
29800;394018;250941
29900;395343;251721
30000;396590;252438
30100;397886;253324
30200;399245;254308
30300;400440;254935
30400;401821;255951
30500;403060;256751
30600;404324;257668
30700;405603;258571
30800;406908;259343
30900;408223;260068
31000;409461;260797
31100;410690;261551
31200;411964;262297
31300;413293;263204
31400;414490;263875
31500;415769;264742
31600;417047;265633
31700;418290;266544
31800;419502;267253
31900;420706;267889
32000;422007;268806
32100;423148;269448
32200;424392;270296
32300;425574;270987
32400;426757;271719
