n;swaps;comparisons
100;617;542
200;1433;1280
300;2321;2096
400;3264;2959
500;4179;3856
600;5244;4792
700;6303;5746
800;7331;6721
900;8361;7709
1000;9358;8705
1100;10509;9739
1200;11681;10784
1300;12849;11834
1400;13997;12896
1500;15130;13962
1600;16269;15041
1700;17397;16129
1800;18518;17214
1900;19617;18308
2000;20713;19413
2100;21913;20531
2200;23212;21675
2300;24490;22822
2400;25769;23964
2500;27033;25103
2600;28291;26267
2700;29559;27428
2800;30790;28593
2900;32034;29755
3000;33254;30916
3100;34485;32092
3200;35727;33276
3300;36961;34465
3400;38195;35651
3500;39417;36846
3600;40621;38034
3700;41830;39220
3800;43039;40429
3900;44236;41625
4000;45418;42824
4100;46611;44021
4200;48018;45262
4300;49425;46505
4400;50817;47745
4500;52210;48989
4600;53586;50239
4700;54974;51486
4800;56339;52729
4900;57705;53977
5000;59065;55220
5100;60416;56470
5200;61781;57732
5300;63142;58988
5400;64486;60261
5500;65845;61525
5600;67180;62778
5700;68529;64038
5800;69865;65320
5900;71194;66566
6000;72507;67845
6100;73828;69105
6200;75166;70382
6300;76502;71658
6400;77857;72952
6500;79204;74231
6600;80522;75520
6700;81869;76816
6800;83186;78107
6900;84513;79389
7000;85822;80683
7100;87143;81966
7200;88446;83255
7300;89760;84552
7400;91084;85849
7500;92381;87146
7600;93668;88445
7700;94981;89747
7800;96270;91045
7900;97549;92335
8000;98838;93643
8100;100124;94936
8200;101408;96239
8300;102920;97583
8400;104433;98932
8500;105939;100263
8600;107438;101599
8700;108942;102950
8800;110429;104283
8900;111912;105639
9000;113406;106971
9100;114879;108322
9200;116367;109661
9300;117837;111004
9400;119313;112347
9500;120803;113702
9600;122285;115053
9700;123738;116405
9800;125213;117745
9900;126657;119100
10000;128114;120442
10100;129584;121794
10200;131022;123148
10300;132488;124506
10400;133956;125861
10500;135410;127212
10600;136874;128576
10700;138341;129947
10800;139779;131301
10900;141242;132658
11000;142690;134036
11100;144127;135386
11200;145573;136743
11300;147009;138114
11400;148441;139474
11500;149888;140841
11600;151297;142207
11700;152753;143573
11800;154164;144934
11900;155599;146308
12000;157019;147654
12100;158436;149038
12200;159849;150399
12300;161274;151760
12400;162716;153141
12500;164168;154535
12600;165622;155932
12700;167060;157324
12800;168510;158704
12900;169956;160076
13000;171386;161465
13100;172836;162859
13200;174252;164233
13300;175688;165618
13400;177112;167014
13500;178550;168394
13600;179981;169796
13700;181387;171174
13800;182816;172579
13900;184233;173966
14000;185629;175349
14100;187056;176728
14200;188460;178121
14300;189879;179513
14400;191288;180916
14500;192714;182315
14600;194132;183699
14700;195520;185092
14800;196937;186508
14900;198339;187885
15000;199746;189286
15100;201126;190679
15200;202544;192077
15300;203938;193476
15400;205338;194876
15500;206735;196267
15600;208109;197672
15700;209516;199074
15800;210888;200460
15900;212284;201872
16000;213667;203276
16100;215048;204667
16200;216418;206057
16300;217806;207471
16400;219214;208875
16500;220821;210307
16600;222438;211764
16700;224029;213184
16800;225649;214633
16900;227264;216069
17000;228863;217529
17100;230477;218957
17200;232083;220413
17300;233669;221827
17400;235274;223292
17500;236864;224737
17600;238450;226160
17700;240035;227615
17800;241643;229059
17900;243230;230503
18000;244802;231926
18100;246386;233374
18200;247968;234843
18300;249539;236261
18400;251128;237715
18500;252714;239153
18600;254282;240595
18700;255871;242056
18800;257454;243509
18900;259032;244950
19000;260612;246388
19100;262161;247842
19200;263740;249301
19300;265293;250735
19400;266859;252164
19500;268435;253630
19600;269988;255085
19700;271558;256541
19800;273131;257979
19900;274682;259417
20000;276234;260873
20100;277807;262325
20200;279353;263779
20300;280910;265236
20400;282441;266684
20500;284005;268128
20600;285559;269594
20700;287133;271057
20800;288706;272520
20900;290253;273973
21000;291828;275434
21100;293400;276875
21200;294946;278357
21300;296509;279820
21400;298074;281272
21500;299604;282737
21600;301182;284186
21700;302712;285648
21800;304279;287120
21900;305797;288592
22000;307345;290038
22100;308901;291496
22200;310436;292974
22300;311985;294430
22400;313518;295872
22500;315043;297329
22600;316601;298804
22700;318146;300267
22800;319668;301750
22900;321223;303199
23000;322738;304668
23100;324282;306135
23200;325809;307603
23300;327366;309076
23400;328869;310517
23500;330411;311979
23600;331895;313448
23700;333454;314925
23800;334985;316419
23900;336501;317869
24000;338014;319331
24100;339552;320780
24200;341055;322270
24300;342565;323722
24400;344088;325194
24500;345596;326673
24600;347153;328131
24700;348682;329620
24800;350222;331092
24900;351794;332596
25000;353324;334055
25100;354874;335551
25200;356421;337033
25300;357997;338541
25400;359522;339997
25500;361055;341497
25600;362618;342975
25700;364131;344452
25800;365689;345958
25900;367221;347428
26000;368770;348920
26100;370286;350411
26200;371834;351890
26300;373369;353382
26400;374898;354876
26500;376430;356361
26600;377953;357840
26700;379477;359310
26800;381007;360804
26900;382559;362306
27000;384062;363803
27100;385595;365277
27200;387135;366770
27300;388629;368244
27400;390180;369747
27500;391675;371230
27600;393205;372723
27700;394702;374235
27800;396228;375712
27900;397759;377190
28000;399288;378660
28100;400794;380185
28200;402291;381655
28300;403817;383169
28400;405329;384644
28500;406829;386123
28600;408345;387617
28700;409845;389098
28800;411348;390613
28900;412880;392094
29000;414373;393594
29100;415913;395092
29200;417423;396570
29300;418937;398092
29400;420446;399586
29500;421949;401068
29600;423448;402581
29700;424944;404049
29800;426485;405578
29900;427981;407082
30000;429478;408579
30100;430971;410046
30200;432455;411557
30300;433957;413058
30400;435455;414543
30500;436968;416058
30600;438473;417556
30700;439950;419049
30800;441445;420542
30900;442955;422047
31000;444437;423555
31100;445965;425049
31200;447419;426517
31300;448915;428034
31400;450412;429526
31500;451901;431034
31600;453368;432539
31700;454878;434044
31800;456347;435545
31900;457849;437039
32000;459319;438523
32100;460801;440030
32200;462273;441523
32300;463747;443033
32400;465238;444525
32500;466711;446016
32600;468179;447531
32700;469627;449005
32800;471205;450532
32900;472937;452083
33000;474651;453617
33100;476352;455168
33200;478051;456678
33300;479765;458253
33400;481465;459757
33500;483218;461324
33600;484911;462862
33700;486610;464407
33800;488304;465935
33900;489992;467442
34000;491701;469028
34100;493414;470550
34200;495125;472113
34300;496817;473643
34400;498509;475164
34500;500215;476725
34600;501910;478265
34700;503631;479814
34800;505321;481348
34900;507014;482897
35000;508704;484436
35100;510370;485972
35200;512102;487501
35300;513801;489076
35400;515465;490604
35500;517137;492151
35600;518841;493685
35700;520531;495222
35800;522224;496773
35900;523880;498309
36000;525601;499873
36100;527286;501414
36200;528939;502939
36300;530660;504507
36400;532328;506027
36500;533973;507560
36600;535676;509129
36700;537350;510662
36800;538993;512216
36900;540718;513727
37000;542381;515307
37100;544069;516841
37200;545766;518384
37300;547455;519942
37400;549123;521501
37500;550789;523050
37600;552455;524555
37700;554142;526126
37800;555828;527655
37900;557499;529228
38000;559176;530762
38100;560844;532313
38200;562519;533872
38300;564219;535413
38400;565838;536962
38500;567518;538506
38600;569181;540048
38700;570833;541611
38800;572522;543150
38900;574198;544693
39000;575857;546264
39100;577518;547793
39200;579162;549338
39300;580810;550903
39400;582498;552455
39500;584172;553979
39600;585840;555537
39700;587485;557085
39800;589141;558641
39900;590816;560202
40000;592464;561748
40100;594124;563305
40200;595794;564847
40300;597413;566364
40400;599053;567942
40500;600725;569482
40600;602399;571032
40700;604063;572587
40800;605685;574140
40900;607340;575689
41000;608988;577211
41100;610653;578809
41200;612345;580353
41300;614006;581905
41400;615679;583480
41500;617337;585063
41600;618978;586605
41700;620662;588151
41800;622294;589716
41900;624025;591279
42000;625634;592873
42100;627293;594405
42200;628946;595953
42300;630597;597522
42400;632272;599063
42500;633930;600656
42600;635584;602201
42700;637240;603764
42800;638919;605333
42900;640523;606889
43000;642190;608442
43100;643847;609992
43200;645511;611577
43300;647148;613121
43400;648831;614687
43500;650460;616237
43600;652101;617788
43700;653729;619344
43800;655394;620937
43900;657012;622500
44000;658684;624050
44100;660320;625622
44200;661981;627191
44300;663615;628710
44400;665251;630287
44500;666919;631854
44600;668542;633397
44700;670197;634985
44800;671798;636551
44900;673457;638115
45000;675098;639671
45100;676735;641226
45200;678398;642805
45300;680042;644390
45400;681656;645935
45500;683269;647480
45600;684918;649055
45700;686545;650626
45800;688202;652172
45900;689835;653752
46000;691481;655332
46100;693116;656912
46200;694782;658443
46300;696397;660011
46400;697981;661558
46500;699660;663143
46600;701262;664718
46700;702884;666252
46800;704537;667842
46900;706159;669414
47000;707771;670961
47100;709408;672557
47200;711027;674094
47300;712652;675660
47400;714291;677228
47500;715903;678782
47600;717534;680355
47700;719158;681941
47800;720786;683502
47900;722384;685050
48000;724015;686622
48100;725651;688203
48200;727237;689737
48300;728903;691346
48400;730488;692915
48500;732075;694434
48600;733686;696019
48700;735336;697592
48800;736968;699177
48900;738581;700714
49000;740192;702298
49100;741784;703857
49200;743405;705432
49300;745074;707024
49400;746738;708626
49500;748386;710205
49600;750051;711786
49700;751685;713364
49800;753374;714948
49900;754996;716527
50000;756645;718100
50100;758278;719692
50200;759952;721287
50300;761606;722881
50400;763268;724434
50500;764843;726016
50600;766545;727611
50700;768214;729223
50800;769785;730795
50900;771440;732408
51000;773107;733953
51100;774729;735532
51200;776374;737126
51300;778008;738730
51400;779670;740295
51500;781310;741902
51600;782933;743467
51700;784595;745069
51800;786218;746664
51900;787855;748219
52000;789510;749803
52100;791132;751397
52200;792768;752994
52300;794409;754557
52400;796004;756140
52500;797674;757767
52600;799306;759321
52700;800922;760907
52800;802553;762504
52900;804193;764099
53000;805829;765673
53100;807468;767266
53200;809093;768864
53300;810708;770428
53400;812364;772037
53500;813978;773600
53600;815609;775182
53700;817222;776766
53800;818880;778372
53900;820485;779985
54000;822114;781570
54100;823729;783153
54200;825397;784726
54300;826949;786316
54400;828601;787928
54500;830265;789514
54600;831858;791089
54700;833481;792682
54800;835103;794281
54900;836715;795858
55000;838331;797425
55100;839948;799052
55200;841569;800593
55300;843213;802211
55400;844864;803788
55500;846466;805389
55600;848061;806988
55700;849670;808574
55800;851288;810146
55900;852932;811733
56000;854478;813333
56100;856118;814908
56200;857742;816485
56300;859365;818101
56400;860919;819683
56500;862616;821302
56600;864180;822873
56700;865806;824462
56800;867417;826045
56900;869014;827627
57000;870648;829227
57100;872248;830838
57200;873853;832402
57300;875445;833999
57400;877052;835560
57500;878650;837172
57600;880303;838797
57700;881900;840368
57800;883527;841981
57900;885149;843547
58000;886766;845157
58100;888354;846768
58200;889955;848358
58300;891579;849938
58400;893208;851539
58500;894799;853136
58600;896441;854755
58700;898058;856349
58800;899622;857933
58900;901269;859567
59000;902860;861136
59100;904459;862737
59200;906077;864333
59300;907668;865913
59400;909318;867530
59500;910931;869136
59600;912484;870686
59700;914080;872298
59800;915726;873912
59900;917285;875474
60000;918891;877081
60100;920500;878699
60200;922120;880288
60300;923709;881881
60400;925319;883498
60500;926945;885103
60600;928516;886665
60700;930092;888250
60800;931675;889869
60900;933278;891478
61000;934896;893057
61100;936474;894653
61200;938043;896215
61300;939661;897850
61400;941297;899445
61500;942856;901036
61600;944480;902674
61700;946070;904252
61800;947629;905830
61900;949265;907448
62000;950835;909037
62100;952455;910653
62200;954034;912257
62300;955641;913860
62400;957208;915434
62500;958794;917022
62600;960357;918617
62700;961984;920246
62800;963600;921846
62900;965145;923422
63000;966765;925018
63100;968315;926615
63200;969944;928219
63300;971504;929817
63400;973084;931433
63500;974665;933015
63600;976272;934634
63700;977783;936203
63800;979437;937832
63900;981005;939410
64000;982560;941009
64100;984157;942625
64200;985761;944238
64300;987318;945818
64400;988917;947439
64500;990463;949004
64600;992059;950615
64700;993650;952177
64800;995222;953805
64900;996800;955406
65000;998379;956994
65100;999932;958609
65200;1001526;960214
65300;1003107;961802
65400;1004675;963434
65500;1006265;965015
65600;1007981;966621
65700;1009798;968298
65800;1011596;969920
65900;1013403;971548
66000;1015255;973198
66100;1017071;974857
66200;1018879;976473
66300;1020690;978118
66400;1022486;979748
66500;1024292;981397
66600;1026164;983057
66700;1027935;984684
66800;1029708;986330
66900;1031541;987964
67000;1033333;989589
67100;1035161;991220
67200;1036956;992891
67300;1038752;994507
67400;1040574;996168
67500;1042389;997808
67600;1044172;999454
67700;1045986;1001083
67800;1047787;1002719
67900;1049601;1004351
68000;1051407;1005977
68100;1053206;1007670
68200;1055010;1009291
68300;1056811;1010902
68400;1058622;1012587
68500;1060407;1014208
68600;1062216;1015843
68700;1063988;1017477
68800;1065769;1019128
68900;1067589;1020766
69000;1069378;1022423
69100;1071155;1024037
69200;1072981;1025686
69300;1074745;1027327
69400;1076573;1028996
69500;1078373;1030594
69600;1080186;1032262
69700;1081966;1033912
69800;1083747;1035536
69900;1085561;1037200
70000;1087360;1038818
70100;1089182;1040481
70200;1090884;1042087
70300;1092727;1043745
