n;swaps;comparisons
100;148;765
200;299;1724
300;451;2751
400;606;3825
500;762;4919
600;921;6058
700;1083;7211
800;1248;8376
900;1415;9558
1000;1585;10756
1100;1759;11971
1200;1936;13198
1300;2116;14434
1400;2297;15684
1500;2481;16942
1600;2667;18209
1700;2859;19487
1800;3052;20774
1900;3248;22069
2000;3449;23375
2100;3648;24690
2200;3851;26006
2300;4058;27336
2400;4266;28676
2500;4479;30018
2600;4694;31366
2700;4909;32720
2800;5130;34084
2900;5350;35452
3000;5572;36821
3100;5799;38204
3200;6028;39589
3300;6257;40978
3400;6486;42368
3500;6717;43772
3600;6955;45178
3700;7190;46579
3800;7430;47997
3900;7668;49411
4000;7911;50836
4100;8155;52254
4200;8398;53683
4300;8651;55119
4400;8896;56549
4500;9143;57989
4600;9395;59429
4700;9650;60878
4800;9902;62325
4900;10156;63771
5000;10418;65233
5100;10672;66688
5200;10933;68152
5300;11197;69619
5400;11458;71084
5500;11719;72553
5600;11984;74031
5700;12259;75507
5800;12523;76995
5900;12791;78471
6000;13067;79969
6100;13335;81455
6200;13609;82949
6300;13885;84445
6400;14159;85940
6500;14439;87450
6600;14716;88949
6700;15002;90462
6800;15277;91967
6900;15566;93492
7000;15843;94994
7100;16132;96513
7200;16419;98036
7300;16698;99539
7400;16994;101073
7500;17277;102595
7600;17570;104131
7700;17863;105662
7800;18155;107193
7900;18448;108713
8000;18744;110255
8100;19036;111797
8200;19333;113322
8300;19632;114872
8400;19926;116401
8500;20226;117945
8600;20522;119485
8700;20830;121044
8800;21124;122572
8900;21424;124129
9000;21729;125672
9100;22033;127209
9200;22332;128762
9300;22637;130303
9400;22945;131860
9500;23245;133414
9600;23550;134965
9700;23859;136523
9800;24162;138062
9900;24467;139624
10000;24776;141182
10100;25080;142735
10200;25390;144287
10300;25701;145858
10400;26004;147394
10500;26311;148964
10600;26621;150521
10700;26934;152082
10800;27245;153654
10900;27552;155211
11000;27868;156779
11100;28177;158338
11200;28487;159905
11300;28803;161466
11400;29111;163043
11500;29424;164600
11600;29741;166182
11700;30056;167753
11800;30372;169328
11900;30686;170902
12000;31000;172472
12100;31320;174049
12200;31634;175625
12300;31952;177213
12400;32276;178800
12500;32588;180374
12600;32908;181957
12700;33222;183532
12800;33549;185120
12900;33877;186731
13000;34191;188314
13100;34520;189911
13200;34834;191498
13300;35169;193113
13400;35490;194710
13500;35809;196293
13600;36148;197923
13700;36466;199513
13800;36804;201136
13900;37121;202710
14000;37459;204341
14100;37789;205945
14200;38123;207575
14300;38459;209192
14400;38788;210806
14500;39127;212440
14600;39459;214055
14700;39795;215669
14800;40144;217319
14900;40478;218941
15000;40815;220561
15100;41160;222199
15200;41501;223843
15300;41843;225476
15400;42177;227098
15500;42539;228763
15600;42876;230399
15700;43221;232031
15800;43572;233692
15900;43917;235330
16000;44275;236999
16100;44614;238630
16200;44954;240269
16300;45314;241939
16400;45667;243594
16500;46023;245255
16600;46373;246903
16700;46727;248560
16800;47090;250234
16900;47439;251881
17000;47794;253540
17100;48149;255214
17200;48501;256860
17300;48861;258523
17400;49221;260203
17500;49581;261859
17600;49945;263533
17700;50302;265205
17800;50657;266859
17900;51020;268526
18000;51389;270210
18100;51741;271878
18200;52114;273560
18300;52468;275212
18400;52835;276885
18500;53199;278555
18600;53565;280229
18700;53923;281900
18800;54300;283576
18900;54651;285246
19000;55023;286923
19100;55384;288587
19200;55744;290252
19300;56111;291918
19400;56473;293601
19500;56841;295252
19600;57201;296931
19700;57569;298607
19800;57938;300289
19900;58301;301946
20000;58666;303623
20100;59034;305292
20200;59401;306968
20300;59761;308634
20400;60126;310298
20500;60489;311953
20600;60861;313637
20700;61224;315311
20800;61582;316954
20900;61950;318642
21000;62315;320310
21100;62671;321943
21200;63038;323619
21300;63396;325282
21400;63763;326949
21500;64124;328600
21600;64492;330273
21700;64843;331907
21800;65217;333597
21900;65573;335241
22000;65936;336910
22100;66300;338570
22200;66666;340243
22300;67014;341879
22400;67374;343526
22500;67733;345175
22600;68103;346868
22700;68458;348508
22800;68818;350165
22900;69186;351825
23000;69538;353474
