n;swaps;comparisons
100;193;917
200;437;2102
300;699;3386
400;977;4745
500;1264;6122
600;1566;7527
700;1869;9023
800;2180;10517
900;2505;11918
1000;2828;13490
1100;3156;15013
1200;3493;16535
1300;3832;18151
1400;4189;19537
1500;4533;21276
1600;4891;22802
1700;5244;24476
1800;5597;26223
1900;5976;27686
2000;6336;29390
2100;6707;31197
2200;7081;32598
2300;7460;34237
2400;7855;36244
2500;8233;37677
2600;8615;39439
2700;9009;41141
2800;9404;42615
2900;9791;44562
3000;10200;45936
3100;10597;47810
3200;11017;49160
3300;11403;51067
3400;11812;53090
3500;12214;54483
3600;12628;56132
3700;13039;57802
3800;13459;59795
3900;13894;61154
4000;14288;63028
4100;14731;64753
4200;15150;66306
4300;15569;68281
4400;15982;70225
4500;16415;71953
4600;16850;73422
4700;17272;75582
4800;17721;77097
4900;18145;78810
5000;18578;80532
5100;19019;82207
5200;19461;83589
5300;19905;85432
5400;20310;88260
5500;20779;89492
5600;21222;91075
5700;21666;92551
5800;22102;95187
5900;22577;96456
6000;22962;99368
6100;23462;99973
6200;23916;101738
6300;24368;103764
6400;24808;105419
6500;25279;106771
6600;25718;109389
6700;26213;110178
6800;26637;112976
6900;27084;114849
7000;27577;116351
7100;27996;118779
7200;28494;119569
7300;28927;122520
7400;29400;123827
7500;29863;125742
7600;30332;127685
7700;30837;128977
7800;31296;130568
7900;31769;132867
8000;32206;134876
8100;32668;137219
8200;33169;137982
8300;33621;140741
8400;34125;141697
8500;34572;144005
8600;35077;145248
8700;35555;147341
8800;35985;150120
8900;36511;150796
9000;36950;153141
9100;37459;154772
9200;37915;156641
9300;38432;158066
9400;38906;160030
9500;39364;162179
9600;39843;164544
9700;40351;166452
9800;40847;167501
9900;41274;170597
10000;41810;171828
10100;42290;173606
10200;42826;174002
10300;43245;177382
10400;43770;178940
10500;44232;181410
10600;44748;182781
10700;45222;184835
10800;45749;186004
10900;46188;188019
11000;46737;190130
11100;47214;191795
11200;47724;193501
11300;48167;196465
11400;48687;198141
11500;49174;199912
11600;49659;202353
11700;50213;202942
11800;50663;205803
11900;51191;206154
12000;51700;208681
12100;52211;210041
12200;52682;213375
12300;53184;214263
12400;53672;216174
12500;54168;219248
12600;54715;219420
12700;55221;221953
12800;55700;224282
12900;56233;224788
13000;56668;229536
13100;57241;229666
13200;57684;232698
13300;58211;233660
13400;58731;236042
13500;59220;238021
13600;59733;241091
13700;60342;239098
13800;60742;244278
13900;61238;246302
14000;61769;247748
14100;62352;248858
14200;62749;253180
14300;63309;253515
14400;63887;253086
14500;64323;259151
14600;64837;258925
14700;65395;260355
14800;65942;261269
14900;66423;263542
15000;66927;265857
15100;67446;268799
15200;67980;270289
15300;68454;273603
15400;69018;274401
15500;69549;275305
15600;70008;279043
15700;70584;279109
15800;71088;282627
15900;71616;283627
16000;72152;285291
16100;72649;287772
16200;73218;289631
16300;73703;292165
16400;74182;294389
16500;74756;295740
16600;75315;295089
16700;75753;299783
16800;76290;301402
16900;76774;304587
17000;77284;306405
17100;77848;307126
17200;78423;310299
17300;78994;309130
17400;79446;312715
17500;79924;315364
17600;80571;315985
17700;81012;318521
17800;81552;320663
17900;82173;320377
18000;82675;323317
18100;83122;326769
18200;83746;327327
18300;84221;330124
18400;84822;330601
18500;85303;333548
18600;85777;336654
18700;86372;337220
18800;86898;340245
18900;87501;340316
19000;87902;344885
19100;88441;348354
19200;89027;348207
19300;89598;347203
19400;90084;352663
19500;90610;355799
19600;91102;356855
19700;91705;356868
19800;92194;361177
19900;92834;361297
20000;93369;362694
20100;93807;365921
20200;94321;368137
20300;94891;370662
20400;95530;369634
20500;96055;371055
20600;96507;376360
20700;97066;377076
20800;97663;378854
20900;98111;382786
21000;98687;382450
21100;99303;384945
21200;99732;388870
21300;100312;388759
21400;100903;389493
21500;101426;392919
21600;101894;396258
21700;102488;396710
21800;103040;397458
21900;103533;401098
22000;104106;402946
22100;104639;404952
22200;105273;405385
22300;105718;409873
22400;106200;413291
22500;106735;415032
22600;107361;414203
22700;107812;418585
22800;108465;419026
22900;108962;421881
23000;109748;418401
23100;110093;426874
23200;110649;426735
23300;111201;427586
23400;111801;427843
23500;112225;433884
23600;112785;435572
23700;113387;436198
23800;113920;438963
23900;114410;443433
24000;115094;441641
24100;115591;445452
24200;116220;444233
24300;116691;447929
24400;117220;448953
24500;117821;451699
24600;118332;453810
24700;118877;455798
24800;119529;456545
24900;120097;458679
25000;120643;460029
25100;121196;462644
25200;121758;462836
25300;122190;468430
25400;122760;471039
25500;123343;470824
25600;123946;472493
25700;124438;476407
25800;124947;480988
25900;125456;483522
26000;126120;481085
26100;126593;485496
26200;127256;485707
26300;127810;486677
26400;128327;490759
26500;128860;491489
26600;129457;493402
26700;130059;494854
26800;130435;500684
26900;130998;500773
27000;131644;503553
27100;132188;505064
27200;132696;508060
27300;133236;512365
27400;134102;507687
27500;134497;511320
27600;135105;512432
27700;135675;512710
27800;136127;519144
27900;136656;519796
28000;137242;523053
28100;137906;523396
28200;138395;526592
28300;138980;529175
28400;139550;529177
28500;140015;533249
28600;140629;535765
28700;141241;536073
28800;141688;540032
28900;142250;540951
29000;142821;545445
29100;143235;549348
29200;143943;549461
29300;144700;546007
29400;145075;553427
29500;145658;554764
29600;146360;552169
29700;147002;554577
29800;147521;557081
29900;147981;560223
30000;148679;559692
30100;149113;567239
30200;149736;565427
30300;150439;564308
30400;150854;568432
30500;151504;569198
30600;151948;575611
30700;152497;578175
30800;153183;577393
30900;153720;578404
31000;154177;585155
31100;154720;587333
31200;155419;585627
31300;155927;590371
31400;156677;585486
31500;157187;589845
31600;157685;594856
31700;158200;598390
31800;158869;597618
31900;159283;604061
32000;159981;604020
32100;160489;606512
32200;161064;607842
32300;161739;609765
32400;162154;614034
32500;162703;617874
32600;163397;614412
32700;163961;618194
32800;164668;617680
32900;165178;620257
33000;165786;620628
33100;166253;624776
33200;166789;627116
33300;167370;631221
33400;168111;629178
33500;168616;633950
33600;169193;635323
33700;169686;639659
33800;170367;639428
33900;171063;637292
34000;171435;642232
34100;172010;646504
34200;172595;647511
34300;173270;648468
34400;173711;653251
34500;174506;650722
34600;175021;654144
34700;175576;656814
34800;176024;662254
34900;176659;662056
35000;177131;668345
35100;177779;667224
35200;178311;670926
35300;178831;673703
35400;179623;671459
35500;180154;674944
35600;180791;675972
35700;181341;676083
35800;182008;677957
35900;182326;686773
36000;183068;684320
36100;183748;683336
36200;184283;687433
36300;184674;693667
36400;185355;692437
36500;185887;696506
36600;186445;697315
36700;187144;697252
36800;187648;703157
36900;188298;701977
37000;188798;706408
37100;189336;707642
37200;190092;707260
37300;190552;711865
37400;191140;714404
37500;191751;715624
37600;192346;716987
37700;192818;723908
37800;193557;718576
37900;194102;724337
38000;194766;723631
38100;195252;729707
38200;195730;733465
38300;196533;728564
38400;197000;736597
38500;197573;736058
38600;198100;739236
38700;198743;740804
38800;199387;739335
38900;200022;740885
39000;200634;742621
39100;201018;750864
39200;201933;744413
39300;202228;756110
39400;202858;753019
39500;203521;753897
39600;204176;754831
39700;204772;758028
39800;205117;763366
39900;205803;765702
40000;206217;768321
40100;207024;765304
40200;207617;769912
40300;208158;772603
40400;208659;774823
40500;209201;780051
40600;209917;781103
40700;210512;779127
40800;211058;782639
40900;211630;787876
41000;212158;789639
41100;212803;791458
41200;213512;787887
41300;213717;800199
41400;214657;794835
41500;215155;797197
41600;215847;800301
41700;216231;806490
41800;216986;801233
41900;217493;806163
42000;217986;813510
42100;218536;815020
42200;219093;817131
42300;220018;810599
42400;220430;819312
42500;221033;823336
42600;221905;815386
42700;222235;822553
42800;222815;824982
42900;223587;824745
43000;224012;830635
43100;224634;831231
43200;225205;830871
43300;225997;831571
43400;226466;836483
43500;226874;839863
43600;227352;847464
43700;228206;842535
43800;228723;846402
43900;229576;840866
44000;230001;849020
44100;230544;852571
44200;231229;853998
44300;231739;857339
44400;232521;851504
44500;232783;863064
44600;233511;864209
44700;234028;865216
44800;234588;866385
44900;235390;866196
45000;236005;867045
45100;236616;868241
45200;237116;876341
45300;237631;876604
45400;238438;873994
45500;238816;881795
45600;239573;879776
45700;239993;885837
45800;240690;884198
45900;241300;886306
46000;241778;894826
46100;242455;892527
46200;243033;893654
46300;243525;899813
46400;244112;902424
46500;244690;905956
46600;245429;904700
46700;246035;899720
46800;246653;906734
46900;247173;908555
47000;247512;915549
47100;248428;913088
47200;248992;915960
47300;249705;915191
47400;250293;918369
47500;250632;923801
47600;251399;921388
47700;251833;929887
47800;252451;928951
47900;253057;933271
48000;253637;934921
48100;254308;937960
48200;254844;939976
48300;255526;939175
48400;255959;944131
48500;256738;945690
48600;257441;941659
48700;257943;946008
48800;258649;947054
48900;259223;950955
49000;259815;950992
49100;260392;951727
49200;260833;959874
49300;261521;959945
49400;262301;959746
49500;262722;962769
49600;263271;967443
49700;263905;964886
49800;264467;972055
49900;265101;973933
50000;265924;973776
50100;266370;976807
50200;267021;976193
50300;267362;986427
50400;268251;979881
50500;268581;987354
50600;269533;982513
50700;269786;993352
50800;270637;986418
50900;271406;989011
51000;271626;999697
51100;272230;1001482
51200;273092;995786
51300;273793;995252
51400;274202;1003095
51500;274742;1006001
51600;275481;1004496
51700;276018;1007388
51800;276432;1013255
51900;276989;1020947
52000;277832;1015474
52100;278507;1013233
52200;279085;1019602
52300;279707;1021828
52400;280348;1020105
52500;280856;1024708
52600;281485;1029005
52700;281980;1031960
52800;282673;1033052
52900;283421;1031187
53000;283739;1042596
53100;284657;1036330
53200;285121;1040023
53300;285709;1043686
53400;286182;1046214
53500;286993;1043883
53600;287629;1046984
53700;288129;1049680
53800;288772;1049663
53900;289381;1056588
54000;289930;1059684
54100;290396;1062532
54200;291015;1064640
54300;291689;1067735
54400;292452;1067226
54500;293091;1064827
54600;293512;1073184
54700;294211;1072644
54800;294928;1071485
54900;295416;1080274
55000;296087;1079039
55100;296632;1079463
55200;297439;1083911
55300;297967;1085761
55400;298240;1097021
55500;299111;1091162
55600;299714;1090950
55700;300426;1091978
55800;300948;1098140
55900;301761;1091819
56000;302131;1103150
56100;302987;1095944
56200;303270;1105683
56300;304065;1104001
56400;304607;1109032
56500;305364;1108424
56600;305912;1108231
56700;306649;1109908
56800;306916;1119881
56900;307643;1122042
57000;308118;1124002
57100;309312;1111371
57200;309429;1125566
57300;310278;1126101
57400;310622;1132949
57500;311315;1135660
57600;312016;1136664
57700;312425;1142222
57800;313106;1139852
57900;313913;1136047
58000;314544;1139916
58100;314765;1151878
58200;315797;1144411
58300;316258;1152174
58400;316801;1151144
58500;317651;1148411
58600;318035;1157360
58700;318573;1159084
58800;319274;1163178
58900;320174;1158144
59000;320700;1162260
59100;321225;1167746
59200;321748;1168144
59300;322678;1162463
59400;322984;1175436
59500;323904;1170684
59600;324267;1177684
59700;325026;1177377
59800;325950;1171604
59900;326309;1179467
60000;326766;1184766
60100;327517;1184094
