n;swaps;comparisons
100;215;684
200;446;1693
300;567;2718
400;883;4028
500;1005;5279
600;1190;6485
700;1412;7747
800;1761;9282
900;1995;10766
1000;2113;12067
1100;2310;13454
1200;2545;14749
1300;2786;15993
1400;3059;17480
1500;3346;18946
1600;3633;20409
1700;3872;21866
1800;4090;23170
1900;4284;24631
2000;4510;25926
2100;4751;27399
2200;5000;28467
2300;5268;29961
2400;5552;31355
2500;5821;32606
2600;6110;33878
2700;6387;35450
2800;6676;36754
2900;6961;38371
3000;7225;39514
3100;7506;41044
3200;7776;42369
3300;8002;43865
3400;8255;45457
3500;8465;46726
3600;8708;47821
3700;8965;49319
3800;9219;50656
3900;9459;51797
4000;9731;53143
4100;10010;54545
4200;10293;55984
4300;10578;57378
4400;10874;58935
4500;11178;60178
4600;11466;61592
4700;11767;62991
4800;12065;64459
4900;12391;66149
5000;12686;67126
5100;12985;68895
5200;13284;69826
5300;13613;71343
5400;13918;72975
5500;14238;74429
5600;14535;75693
5700;14859;77334
5800;15176;78315
5900;15509;79906
6000;15797;81632
6100;16118;82920
6200;16428;84566
6300;16738;85944
6400;17050;86985
6500;17365;88611
6600;17687;89888
6700;17992;91205
6800;18298;93025
6900;18620;94543
7000;18928;96142
7100;19256;97496
7200;19570;98228
7300;19889;100281
7400;20245;101426
7500;20570;103072
7600;20907;104673
7700;21225;106285
7800;21573;107854
7900;21908;108823
8000;22261;110481
8100;22588;111982
8200;22948;113729
8300;23292;114627
8400;23654;116639
8500;24006;117690
8600;24371;119495
8700;24733;121477
8800;25078;122204
8900;25437;123640
9000;25796;125434
9100;26155;127246
9200;26519;129311
9300;26897;130466
9400;27249;132076
9500;27611;132799
9600;27980;135129
9700;28333;136291
9800;28711;138034
9900;29117;139175
10000;29445;141292
10100;29820;142781
10200;30189;143933
10300;30562;146293
10400;30954;147699
10500;31296;148700
10600;31651;150323
10700;32002;152679
10800;32376;153320
10900;32744;154828
11000;33097;157084
11100;33467;158059
11200;33827;160305
11300;34182;160949
11400;34538;163092
11500;34903;164042
11600;35275;165745
11700;35605;167989
11800;35974;169420
11900;36310;170931
12000;36679;172432
12100;37023;174075
12200;37361;175508
12300;37722;177077
12400;38077;178391
12500;38424;179931
12600;38748;182221
12700;39127;183756
12800;39463;184398
12900;39789;186279
13000;40154;187903
13100;40490;189181
13200;40832;190757
13300;41219;192709
13400;41545;194423
13500;41906;196615
13600;42232;197118
13700;42583;198624
13800;42952;200409
13900;43331;202326
14000;43692;204518
14100;44026;206757
14200;44367;206746
14300;44747;208538
14400;45118;208978
14500;45462;211719
14600;45822;213818
14700;46194;214813
14800;46572;216950
14900;46917;217784
15000;47272;219402
15100;47654;220569
15200;48037;223050
15300;48402;224194
15400;48769;225475
15500;49160;228053
15600;49514;229100
15700;49922;230110
15800;50278;232586
15900;50660;234293
16000;51047;235925
16100;51441;237420
16200;51839;237735
16300;52224;240382
16400;52593;241605
16500;53029;243952
16600;53417;244506
16700;53813;246535
16800;54198;247968
16900;54605;250476
17000;55020;251735
17100;55413;253522
17200;55849;254970
17300;56236;256619
17400;56659;258290
17500;57094;259326
17600;57471;261022
17700;57933;263557
17800;58328;264829
17900;58790;266377
18000;59183;269779
18100;59634;270192
18200;60081;271743
18300;60498;273067
18400;60956;275225
18500;61401;277203
18600;61803;277107
18700;62269;280301
18800;62706;280656
18900;63174;282619
19000;63626;284626
19100;64069;286076
19200;64543;287412
19300;64982;289574
19400;65456;291209
19500;65899;292420
19600;66395;294485
19700;66837;297389
19800;67315;298181
19900;67786;299786
20000;68234;301168
20100;68707;304322
20200;69204;304709
20300;69660;305579
20400;70156;307241
20500;70647;309913
20600;71146;312534
20700;71622;313723
20800;72118;316420
20900;72577;316632
21000;73085;317619
21100;73574;320926
21200;74057;321165
21300;74536;323575
21400;75065;324633
21500;75522;326950
21600;76047;329405
21700;76541;330156
21800;77055;331336
21900;77568;334036
22000;78043;335884
22100;78560;336266
22200;79060;339492
22300;79581;340784
22400;80116;343648
22500;80633;343750
22600;81120;345631
22700;81668;348331
22800;82158;350403
22900;82719;351551
23000;83215;353037
23100;83746;355473
23200;84245;355830
23300;84779;357946
23400;85304;360594
23500;85855;362023
23600;86365;364333
23700;86875;364788
23800;87458;367070
23900;87961;368114
24000;88511;370513
24100;89035;372232
24200;89605;373496
24300;90127;375523
24400;90672;377803
24500;91200;378247
24600;91735;382572
24700;92304;383891
24800;92821;385227
24900;93388;386918
25000;93934;389960
25100;94473;390488
25200;95031;391968
25300;95562;393367
25400;96126;396134
25500;96698;396332
25600;97248;400190
25700;97793;399447
25800;98324;404371
25900;98901;404202
26000;99446;405770
26100;99999;407355
26200;100601;408915
26300;101107;411124
26400;101687;413169
26500;102253;416632
26600;102836;416283
26700;103328;418180
26800;103929;421417
26900;104467;421284
27000;105003;423089
27100;105582;426534
27200;106127;427431
27300;106696;431368
27400;107256;430972
27500;107798;432313
27600;108386;433890
27700;108888;436865
27800;109452;437989
27900;109973;440050
28000;110537;442468
28100;111071;443207
28200;111653;445653
28300;112173;449506
28400;112714;447727
28500;113276;452781
28600;113851;452910
28700;114364;455867
28800;114920;456699
28900;115412;459173
29000;115977;460435
29100;116501;461915
29200;117024;462944
29300;117460;464493
29400;118070;466463
29500;118663;468761
29600;119143;471013
29700;119625;472688
29800;120161;475492
29900;120651;475411
30000;121235;477909
30100;121683;478998
30200;122229;481375
30300;122700;482613
30400;123208;483368
30500;123784;485387
30600;124203;488641
30700;124658;490811
30800;125209;491115
30900;125644;494463
31000;126206;494783
31100;126647;497171
31200;127107;499263
31300;127624;499777
31400;128093;501683
31500;128556;503363
31600;128928;505416
31700;129421;507325
31800;129917;509267
31900;130301;512550
32000;130794;511569
32100;131322;514171
32200;131737;516730
32300;132130;517380
32400;132617;519473
32500;133012;521479
32600;133426;521615
32700;133876;525510
32800;134292;525086
32900;134767;527817
33000;135154;529397
33100;135468;531842
33200;136005;533602
33300;136391;535299
33400;136789;536977
33500;137186;538322
33600;137588;539785
33700;137932;542288
33800;138391;543887
33900;138736;545383
34000;139187;545346
34100;139559;549171
34200;139910;551440
34300;140378;552192
34400;140651;554213
34500;141058;554046
34600;141428;556852
34700;141855;558456
34800;142142;559705
34900;142568;564004
35000;142897;565300
35100;143229;564625
35200;143634;565788
35300;143979;569017
35400;144382;569117
35500;144684;572574
35600;145130;573259
35700;145478;574662
35800;145866;577001
35900;146097;578136
36000;146478;578196
36100;146924;582424
36200;147168;584493
36300;147506;585010
36400;147844;584942
36500;148247;588110
36600;148510;590237
36700;148871;592658
36800;149247;593512
36900;149630;594649
37000;149893;596891
37100;150251;597634
37200;150660;600348
37300;150991;601565
37400;151314;603924
37500;151630;603469
37600;151959;605755
37700;152353;606743
37800;152662;608016
37900;152937;610481
38000;153312;611940
38100;153660;613836
38200;153922;617835
38300;154378;617567
38400;154786;618992
38500;155120;620774
38600;155433;623749
38700;155708;622708
38800;156151;625787
38900;156484;628096
39000;156783;631056
39100;157178;631460
39200;157556;632110
39300;157815;635778
39400;158256;637047
39500;158520;636567
39600;159025;639950
39700;159306;640937
39800;159660;641935
39900;160018;642851
40000;160414;646792
40100;160740;646669
40200;161148;648904
40300;161526;649582
40400;161964;651662
40500;162269;655862
40600;162725;655023
40700;162996;656462
40800;163440;659301
40900;163763;661745
41000;164154;663634
41100;164605;665171
41200;165048;666088
41300;165410;668567
41400;165770;669274
41500;166228;671351
41600;166557;673631
41700;167072;674593
41800;167453;678427
41900;167836;677992
42000;168270;680757
42100;168721;680613
42200;169085;684340
42300;169492;687442
42400;169888;686688
42500;170341;688485
42600;170745;689922
42700;171179;691904
42800;171655;692833
42900;172163;694859
43000;172521;696536
43100;172949;698260
43200;173470;701413
43300;173896;703026
43400;174350;705435
43500;174799;706317
43600;175175;708395
43700;175722;710050
43800;176186;711836
43900;176554;711554
44000;177134;714373
44100;177499;715858
44200;178010;718492
44300;178471;721689
44400;178981;721947
44500;179457;723198
44600;179926;726644
44700;180460;726317
44800;180916;729582
44900;181383;733107
45000;181841;732273
45100;182459;735469
45200;182857;737428
45300;183367;738361
45400;183884;738935
45500;184355;740762
45600;184905;743751
45700;185464;745422
45800;185949;747617
45900;186445;749803
46000;186947;750758
46100;187521;752173
46200;188006;754928
46300;188522;756735
46400;189097;757915
46500;189632;759918
46600;190132;759710
46700;190719;762370
46800;191172;765013
46900;191798;765968
47000;192230;768861
47100;192849;769260
47200;193394;769769
47300;193876;774262
47400;194412;774651
47500;195011;776631
47600;195594;777277
47700;196125;780937
47800;196683;781846
47900;197244;784299
48000;197846;785853
48100;198375;787347
48200;198959;789766
48300;199515;791455
48400;200045;793896
48500;200605;796969
48600;201239;795899
48700;201744;798652
48800;202356;799373
48900;202893;802575
49000;203516;805753
49100;204033;807296
49200;204663;808815
49300;205226;811309
49400;205860;813791
49500;206413;814129
49600;206962;816824
49700;207628;817059
49800;208158;821770
49900;208775;823129
50000;209378;825632
50100;209942;825490
50200;210572;826765
50300;211134;829340
50400;211773;831115
50500;212427;834029
50600;213015;833112
50700;213557;838488
50800;214212;839638
50900;214891;841392
51000;215472;842267
51100;216053;844044
51200;216701;846157
51300;217323;848962
51400;217926;850088
51500;218523;852657
51600;219179;854881
51700;219782;856045
51800;220401;856991
51900;221064;859805
52000;221684;862580
52100;222272;862615
52200;222945;866917
52300;223587;865958
52400;224212;869219
52500;224817;870692
52600;225478;874717
52700;226110;875344
52800;226727;877671
52900;227356;877474
53000;228010;880434
53100;228682;882008
53200;229348;884674
53300;229956;888498
53400;230684;887231
53500;231268;888016
53600;231950;892855
53700;232605;892753
53800;233221;896019
53900;233913;897892
54000;234594;901167
54100;235251;902112
54200;235907;904692
54300;236594;906828
54400;237231;906393
54500;237902;909558
54600;238547;911962
54700;239231;914880
54800;239910;915124
54900;240575;915111
55000;241275;919274
55100;241951;921598
55200;242632;924301
55300;243316;925977
55400;244017;926196
55500;244610;928903
55600;245362;932886
55700;246012;934651
55800;246728;936632
55900;247421;936839
56000;248109;939028
56100;248819;940674
56200;249489;942774
56300;250200;945447
56400;250876;945818
56500;251567;949376
56600;252247;950849
56700;252977;952925
56800;253628;953783
56900;254337;955711
57000;255083;960198
57100;255753;961777
57200;256470;965041
57300;257221;964875
57400;257902;965052
57500;258581;966300
57600;259289;970835
57700;260030;972173
57800;260759;974276
57900;261435;974304
58000;262166;978292
58100;262871;981338
58200;263574;983109
58300;264309;983463
58400;265006;987487
58500;265759;987456
58600;266441;987889
58700;267166;993225
58800;267905;994329
58900;268635;995434
59000;269336;998478
59100;270091;998845
59200;270796;1002419
59300;271519;1005748
59400;272247;1007542
59500;272996;1006140
59600;273702;1012355
59700;274380;1011436
59800;275148;1013646
59900;275899;1018424
60000;276596;1017896
60100;277312;1020397
60200;278120;1020772
60300;278784;1025026
60400;279508;1024750
60500;280217;1029944
60600;280939;1030170
60700;281639;1031846
60800;282361;1034284
60900;283147;1034517
61000;283865;1037400
61100;284630;1040425
61200;285307;1041979
61300;285983;1043376
61400;286764;1044861
61500;287499;1047221
61600;288179;1051596
61700;288948;1051203
61800;289719;1053431
61900;290376;1055622
62000;291159;1059549
62100;291906;1060332
62200;292609;1061813
62300;293346;1064758
62400;293981;1066732
62500;294740;1067400
62600;295454;1069326
62700;296147;1071937
62800;296850;1071607
62900;297621;1077563
63000;298251;1077859
63100;298996;1080357
63200;299709;1081037
63300;300458;1082616
63400;301025;1086666
63500;301834;1089232
63600;302534;1089558
63700;303258;1093776
63800;303984;1094625
63900;304714;1097633
64000;305285;1099544
64100;306000;1102473
64200;306775;1104033
64300;307391;1104499
64400;308156;1104714
64500;308916;1107374
64600;309497;1110566
64700;310230;1111392
64800;310914;1112170
64900;311564;1115465
65000;312138;1116112
65100;312847;1118885
65200;313547;1119487
65300;314118;1124594
65400;314899;1124633
65500;315540;1128796
65600;316159;1130294
65700;316940;1131542
65800;317442;1136305
65900;318126;1135055
66000;318644;1137265
66100;319304;1139488
66200;319872;1139525
66300;320674;1142948
66400;321346;1144144
66500;321924;1145127
66600;322592;1148512
66700;323195;1148718
66800;323817;1153382
66900;324392;1155010
67000;325003;1156032
67100;325488;1159330
67200;326122;1161115
67300;326890;1163672
67400;327391;1164563
67500;327888;1165917
67600;328561;1167655
67700;329190;1170354
67800;329860;1173757
67900;330347;1170497
68000;330890;1173850
68100;331496;1177178
68200;331904;1178496
68300;332652;1179249
68400;333111;1182925
68500;333667;1184142
68600;334173;1186459
68700;334833;1188131
68800;335273;1190688
68900;335845;1192504
69000;336322;1193898
69100;336850;1195325
69200;337559;1198669
69300;338006;1199058
69400;338401;1202860
69500;338901;1203314
69600;339565;1205649
69700;339842;1207748
69800;340373;1209423
69900;340921;1211448
70000;341452;1211994
70100;341942;1214394
70200;342288;1217721
70300;342706;1218781
70400;343174;1220102
70500;343576;1220585
70600;344082;1219829
70700;344526;1224626
70800;345046;1226446
70900;345516;1230486
71000;345839;1229703
71100;346300;1233717
71200;346744;1234325
71300;347037;1235568
71400;347567;1239246
71500;348054;1243925
71600;348386;1243362
71700;348821;1244950
71800;349234;1242078
71900;349726;1246545
72000;349949;1247228
72100;350384;1250778
72200;350571;1252571
72300;351125;1254992
72400;351487;1254654
72500;352043;1258692
72600;352348;1259579
72700;352646;1263358
72800;353073;1263204
72900;353177;1265108
73000;353735;1266988
73100;353874;1267298
73200;354230;1269233
73300;354536;1270855
73400;354979;1272991
73500;355484;1272909
73600;355705;1276080
73700;355933;1279371
73800;356448;1282365
73900;356506;1282560
74000;356887;1283992
74100;357093;1284067
74200;357581;1285518
74300;357822;1286091
74400;358228;1291789
74500;358313;1292214
74600;358460;1293299
74700;358949;1294029
74800;359106;1297806
74900;359421;1297690
75000;359728;1298927
75100;360029;1301275
75200;360135;1303057
75300;360501;1307141
75400;360739;1306400
75500;361120;1311308
75600;361292;1313228
75700;361372;1310797
75800;361743;1312642
75900;361947;1314928
76000;362226;1316749
76100;362587;1318398
76200;362761;1321637
76300;362840;1321515
76400;363054;1322731
76500;363374;1324224
76600;363678;1327714
76700;363824;1326881
76800;364141;1330879
76900;364240;1332182
77000;364456;1331865
77100;364602;1331392
77200;364807;1334410
77300;365276;1337858
77400;365368;1341133
77500;365483;1340324
77600;365724;1340398
77700;365804;1345367
77800;366188;1345964
77900;366278;1350329
78000;366479;1348342
78100;366660;1351057
78200;366937;1352513
78300;367067;1356423
78400;367210;1356537
78500;367493;1357831
78600;367537;1360833
78700;367846;1361659
78800;368071;1362814
78900;368144;1364380
79000;368341;1365734
79100;368650;1366974
79200;368633;1369027
79300;368819;1371450
79400;369131;1372846
79500;369303;1373025
79600;369507;1377138
79700;369612;1378028
79800;369797;1377887
79900;370055;1381448
80000;370104;1382908
80100;370242;1383172
80200;370550;1384775
80300;370617;1387820
80400;370868;1388337
80500;371181;1390470
80600;371268;1391119
80700;371452;1392660
80800;371566;1395827
80900;371978;1396038
81000;371965;1398454
81100;372130;1401906
81200;372358;1402800
81300;372569;1404298
81400;372744;1406780
81500;372936;1407728
81600;373030;1403598
81700;373265;1408452
81800;373463;1411473
81900;373680;1414205
82000;373982;1414296
82100;374121;1416564
82200;374264;1416671
82300;374402;1420560
82400;374760;1420784
82500;374937;1423551
82600;375231;1426654
82700;375096;1424574
82800;375422;1428194
82900;375683;1431215
83000;375864;1431491
83100;376080;1435608
83200;376323;1435428
83300;376444;1435550
83400;376782;1438012
83500;376903;1439636
83600;377141;1440966
83700;377524;1442898
83800;377732;1443015
83900;377786;1447568
84000;377920;1447209
84100;378405;1450236
84200;378526;1450131
84300;378827;1452498
84400;378939;1454349
84500;379240;1457789
84600;379542;1456670
84700;379792;1456958
84800;380044;1461376
84900;380155;1464002
85000;380418;1462912
85100;380795;1466299
85200;380978;1466548
85300;381304;1469450
85400;381345;1470526
85500;381727;1474096
85600;381954;1474292
85700;382416;1477572
85800;382634;1480174
85900;382798;1478637
86000;383181;1480641
86100;383392;1481737
86200;383776;1484836
86300;384128;1487157
86400;384365;1487839
86500;384577;1488274
86600;384986;1490639
86700;385140;1494205
86800;385646;1492560
86900;385838;1496930
87000;386000;1498985
87100;386530;1498424
87200;386562;1498707
87300;387205;1502179
87400;387251;1505909
87500;387555;1507161
87600;387912;1506712
87700;388234;1509518
87800;388685;1514307
87900;388905;1513510
88000;389222;1515068
88100;389704;1515490
88200;390058;1519671
88300;390380;1520842
88400;390642;1522683
88500;390966;1525367
88600;391415;1526963
88700;391704;1524889
88800;392105;1528862
88900;392519;1528961
89000;392724;1535508
89100;393315;1534459
89200;393648;1535182
89300;394011;1537795
89400;394436;1541450
89500;394837;1540244
89600;395069;1541887
89700;395605;1545370
89800;396069;1547495
89900;396571;1548704
90000;396809;1549213
90100;397128;1551378
90200;397581;1555789
90300;398105;1556697
90400;398476;1558378
90500;398762;1560598
90600;399188;1560395
90700;399697;1563880
90800;400163;1565186
90900;400571;1567879
91000;400903;1569400
91100;401498;1570445
91200;401818;1572869
91300;402357;1573596
91400;402840;1575254
91500;403227;1575667
91600;403564;1577771
91700;404179;1583380
91800;404526;1585007
91900;405044;1584388
92000;405601;1588970
92100;406049;1589342
92200;406385;1591549
92300;406937;1592878
92400;407547;1592475
92500;407864;1597103
92600;408409;1598628
92700;408931;1603348
92800;409442;1601240
92900;409870;1602940
93000;410345;1603203
93100;410677;1610770
93200;411241;1608807
93300;411904;1608990
93400;412410;1614489
93500;412946;1613464
93600;413333;1612725
93700;414064;1617746
93800;414424;1620688
93900;414871;1622272
94000;415571;1623340
94100;416109;1623335
94200;416577;1626562
94300;417279;1629483
94400;417495;1631258
94500;418150;1633359
94600;418726;1631405
94700;419175;1638236
94800;419962;1642500
94900;420354;1641160
95000;420921;1641811
95100;421361;1643944
95200;422128;1645651
95300;422596;1649664
95400;423017;1651043
95500;423718;1651439
95600;424145;1652014
95700;424838;1657467
95800;425305;1659194
95900;425845;1656739
96000;426420;1661226
96100;427066;1661473
96200;427672;1666493
96300;428153;1670640
96400;428949;1668479
96500;429369;1670065
96600;430001;1674692
96700;430523;1674874
96800;431236;1675477
96900;431747;1679950
97000;432438;1683360
97100;432923;1681294
97200;433604;1685511
97300;434204;1685361
97400;434781;1687800
97500;435317;1690571
97600;436187;1690033
97700;436544;1696561
97800;437226;1695800
97900;437909;1695994
98000;438531;1700595
98100;439062;1702879
98200;439713;1704830
98300;440235;1707297
98400;441009;1706863
98500;441640;1712160
98600;442233;1710507
98700;442976;1716713
98800;443542;1715254
98900;444290;1717827
99000;444721;1721916
99100;445375;1721514
99200;446033;1724986
99300;446670;1726435
99400;447319;1727392
99500;447985;1726084
99600;448630;1733271
99700;449289;1732985
99800;449916;1735060
99900;450580;1739003
100000;451120;1738832
