n;swaps;comparisons
100;520;565
200;1238;1329
300;2065;2210
400;2876;3055
500;3802;4067
600;4725;5020
700;5586;5857
800;6551;6908
900;7545;7993
1000;8600;9128
1100;9684;10305
1200;10650;11238
1300;11511;11988
1400;12577;13123
1500;13609;14246
1600;14698;15413
1700;15787;16587
1800;16893;17792
1900;18052;19019
2000;19187;20252
2100;20378;21524
2200;21577;22811
2300;22758;24092
2400;23714;24884
2500;24615;25637
2600;25624;26577
2700;26797;27809
2800;27955;29039
2900;29080;30247
3000;30234;31501
3100;31391;32755
3200;32596;34025
3300;33790;35299
3400;35000;36590
3500;36193;37880
3600;37383;39172
3700;38633;40493
3800;39913;41842
3900;41146;43169
4000;42404;44518
4100;43623;45845
4200;44944;47239
4300;46252;48625
4400;47549;50017
4500;48826;51383
4600;50147;52803
4700;51183;53684
4800;52207;54542
4900;53217;55406
5000;54217;56248
5100;55222;57116
5200;56462;58365
5300;57723;59683
5400;58979;61007
5500;60241;62332
5600;61487;63660
5700;62749;64994
5800;63976;66318
5900;65237;67663
6000;66462;68990
6100;67699;70335
6200;68952;71685
6300;70289;73074
6400;71612;74463
6500;72904;75826
6600;74214;77220
6700;75511;78595
6800;76797;79970
6900;78092;81367
7000;79377;82747
7100;80649;84132
7200;81969;85538
7300;83327;86966
7400;84700;88399
7500;86046;89836
7600;87388;91253
7700;88766;92706
7800;90094;94136
7900;91437;95576
8000;92778;97022
8100;94124;98463
8200;95450;99885
8300;96894;101395
8400;98282;102865
8500;99715;104371
8600;101113;105850
8700;102518;107342
8800;103917;108836
8900;105300;110311
9000;106662;111788
9100;108065;113280
9200;109447;114765
9300;110654;115838
9400;111756;116772
9500;112880;117721
9600;114007;118688
9700;115125;119651
9800;116257;120615
9900;117363;121557
10000;118444;122502
10100;119557;123477
10200;120674;124437
10300;121934;125674
10400;123272;127078
10500;124691;128526
10600;126046;129954
10700;127415;131389
10800;128764;132805
10900;130124;134238
11000;131450;135654
11100;132849;137096
11200;134171;138513
11300;135546;139952
11400;136869;141373
11500;138224;142818
11600;139567;144233
11700;140917;145682
11800;142261;147132
11900;143593;148553
12000;144899;149963
12100;146241;151413
12200;147585;152856
12300;148873;154274
12400;150336;155776
12500;151730;157238
12600;153150;158717
12700;154575;160210
12800;155990;161701
12900;157413;163188
13000;158779;164632
13100;160233;166152
13200;161644;167632
13300;162990;169080
13400;164418;170594
13500;165825;172079
13600;167187;173545
13700;168566;175005
13800;169980;176525
13900;171365;178014
14000;172754;179501
14100;174123;180964
14200;175524;182469
14300;176866;183937
14400;178296;185451
14500;179767;186970
14600;181247;188523
14700;182777;190104
14800;184191;191600
14900;185604;193099
15000;187138;194687
15100;188566;196213
15200;190014;197752
15300;191453;199265
15400;192902;200802
15500;194366;202349
15600;195791;203880
15700;197248;205413
15800;198707;206967
15900;200114;208470
16000;201586;210033
16100;203008;211568
16200;204438;213103
16300;205874;214637
16400;207302;216181
16500;208799;217753
16600;210342;219349
16700;211876;220962
16800;213341;222500
16900;214869;224098
17000;216375;225704
17100;217906;227300
17200;219383;228871
17300;220917;230479
17400;222382;232033
17500;223914;233648
17600;225402;235212
17700;226930;236850
17800;228418;238432
17900;229868;239982
18000;231372;241585
18100;232848;243168
18200;234319;244744
18300;235817;246329
18400;237298;247931
18500;238659;249190
18600;239813;250179
18700;241071;251277
18800;242317;252345
18900;243528;253370
19000;244759;254440
19100;246004;255508
19200;247221;256571
19300;248385;257591
19400;249671;258700
19500;250833;259710
19600;252080;260786
19700;253276;261850
19800;254507;262902
19900;255716;263966
20000;256908;265022
20100;258104;266068
20200;259328;267136
20300;260553;268206
20400;261699;269239
20500;262989;270413
20600;264447;271925
20700;265931;273447
20800;267404;274992
20900;268889;276521
21000;270331;278027
21100;271802;279563
21200;273288;281096
21300;274757;282632
21400;276187;284118
21500;277664;285661
21600;279123;287203
21700;280600;288745
21800;282065;290258
21900;283523;291790
22000;284974;293322
22100;286415;294845
22200;287858;296359
22300;289312;297889
22400;290752;299405
22500;292245;300976
22600;293658;302493
22700;295133;304024
22800;296551;305538
22900;298014;307092
23000;299423;308600
23100;300898;310151
23200;302326;311662
23300;303786;313221
23400;305184;314732
23500;306618;316253
23600;308092;317809
23700;309522;319336
23800;310923;320845
23900;312385;322400
24000;313804;323935
24100;315260;325481
24200;316677;327001
24300;318125;328553
