n;avg;min;max
100;1339;806;2833
200;3391;2306;6205
300;5422;3463;7258
400;7937;5425;12351
500;10478;6255;14714
600;13379;9162;20371
700;16127;11000;25731
800;19897;13694;30304
900;22900;16661;30291
1000;26018;17798;42869
1100;29432;20775;40765
1200;32461;20939;43565
1300;35262;23002;48500
1400;40159;31142;61530
1500;42847;30627;66153
1600;46528;32754;64116
1700;49024;36851;64071
1800;53467;38418;71427
1900;56486;41446;75563
2000;60633;43764;83744
2100;63994;48986;95236
2200;68874;48236;89846
2300;72092;48667;89711
2400;77187;56636;111999
2500;81496;55859;106741
2600;84491;58947;110134
2700;90976;59516;118914
2800;88420;64223;109211
2900;93713;67672;127633
3000;100431;72093;152496
3100;102370;72672;140490
3200;106023;80360;152087
3300;112391;79577;150414
3400;117322;85981;163085
3500;117663;90951;156664
3600;126280;93916;178166
3700;129028;87384;183557
3800;132199;94331;177384
3900;137676;94700;211068
4000;142557;96342;191013
4100;147197;97925;191355
4200;150685;103262;195966
4300;157721;113982;211839
4400;160518;122390;211115
4500;161169;106849;229141
4600;169954;119867;219659
4700;171509;125863;248912
4800;174596;125801;247576
4900;178538;120656;239421
5000;186587;131897;242825
5100;191601;151842;261782
5200;193513;146848;294327
5300;195816;138160;255240
5400;200586;140752;261970
5500;209316;155276;309842
5600;210323;157217;273538
5700;216347;167430;294854
5800;222104;166504;315741
5900;226332;161138;308953
6000;225234;158579;311041
6100;234845;182217;299838
6200;244860;176271;364643
6300;241672;171900;304924
6400;245046;171561;305238
6500;255593;175487;362513
6600;261907;188994;347856
6700;262368;186865;352986
6800;269836;193972;348941
6900;270309;188069;368577
7000;276244;211369;401729
7100;284974;208759;377849
7200;285678;212515;374840
7300;293965;198759;379177
7400;297644;212495;385959
7500;306172;222579;416838
7600;318221;237670;415671
7700;310931;240322;403373
7800;319933;228932;416708
7900;325835;247642;473147
8000;325719;239979;435864
8100;329513;252936;425860
8200;333966;250980;439999
8300;342952;244125;477650
8400;345315;241561;462632
8500;349135;238266;433231
8600;360367;252562;489468
8700;357694;277739;457351
8800;365181;248724;481276
8900;371765;283137;471816
9000;375483;270583;485142
9100;372814;290984;471725
9200;387449;303053;522635
9300;391485;279946;615985
9400;396376;302278;483320
9500;399925;279184;545462
9600;397364;297673;506617
9700;405610;322483;490856
9800;416521;307289;550619
9900;423896;323229;538276
10000;419737;315990;580708
10100;426753;332653;545200
10200;430082;307278;526701
10300;436559;316814;591929
10400;446755;328360;671059
10500;441922;341848;536684
10600;444697;313498;553761
10700;458919;340761;620959
10800;471808;333654;635381
10900;466099;327792;618927
11000;488389;362951;602275
11100;475013;348954;658134
11200;489652;352520;667594
11300;491396;343921;631742
11400;499654;391007;621146
11500;505896;378906;698314
11600;512295;383339;675882
11700;508237;356334;709657
11800;522987;366507;690344
11900;518295;408317;624673
12000;523328;390316;639621
12100;536013;409215;717895
12200;538528;400317;668399
12300;546026;411124;720226
12400;557006;421834;693754
12500;557644;405593;682668
12600;556018;406269;751855
12700;580394;404810;815892
12800;576370;447096;805765
12900;577687;398516;741105
13000;573131;411512;712160
13100;591875;447416;755068
13200;609481;463345;763255
13300;594568;457889;740003
13400;597235;451870;765455
13500;611143;445966;850579
13600;607872;464674;786964
13700;613274;429247;798996
13800;622843;455455;842082
13900;630249;454433;807722
14000;631086;473084;852931
14100;642076;479334;824401
14200;648958;489831;865665
14300;644422;483160;860597
14400;653838;479321;812178
14500;671425;522769;871056
14600;689086;501273;991095
14700;672177;509105;830759
14800;669731;502061;835114
14900;690650;526900;959549
15000;681405;535326;830988
15100;677026;481604;821301
15200;700168;533729;872604
15300;703484;497092;864272
15400;706950;520432;1002013
15500;718820;499431;1043495
15600;703707;513070;851290
15700;740314;554768;920843
15800;727699;515573;903746
15900;731253;538407;962087
16000;742913;567349;949100
16100;738908;566348;968462
16200;753493;548305;1066118
16300;750356;575579;989196
16400;767067;587000;943222
16500;767275;575440;998682
16600;781369;602528;1161952
16700;770716;605624;965570
16800;791890;591171;995187
16900;766397;567024;987875
17000;803515;610623;1074403
17100;797914;599856;1071090
17200;818392;631975;1020153
17300;804858;602849;1088913
17400;822708;638091;1067950
17500;816875;617332;1066127
17600;828051;618870;1003287
17700;832499;647779;1149537
17800;843919;608203;1040248
17900;845837;627282;1084784
18000;856967;596122;1065312
18100;844571;647016;1056325
18200;857174;615407;1143651
18300;857232;653546;1109165
18400;874972;612939;1114720
18500;876936;668061;1211765
18600;900365;608239;1199119
18700;883879;607092;1169421
18800;907657;690976;1200553
18900;916508;725642;1140876
19000;897670;688219;1161632
19100;897485;621442;1137348
19200;919850;648434;1158089
19300;909096;672014;1187229
19400;899457;675336;1164743
19500;940851;686178;1132546
19600;942326;712318;1147735
19700;930514;705297;1220265
19800;952802;668543;1205894
19900;953898;695375;1258041
20000;959678;699409;1221692
20100;978242;715779;1185560
20200;973738;771050;1337185
20300;976860;708319;1235866
20400;972215;758348;1263253
20500;1001646;738517;1283113
20600;988108;729456;1270431
20700;1012224;743662;1292126
20800;1008730;777522;1392995
20900;1003722;765504;1256266
21000;1024778;746085;1259080
21100;1015552;764259;1351405
21200;1023308;813612;1345896
21300;1059154;813366;1370533
21400;1013410;779532;1296423
21500;1026475;736263;1283831
21600;1063852;772431;1390082
21700;1080469;799289;1345585
21800;1071122;782898;1313767
21900;1080807;846159;1413988
22000;1069557;786322;1343446
22100;1085200;840745;1333486
22200;1113126;858036;1379423
22300;1084586;854964;1330248
22400;1095355;837758;1459930
22500;1111942;861370;1396641
22600;1114692;860421;1518520
22700;1134706;828852;1426619
22800;1129810;870071;1601714
22900;1154956;862491;1391731
23000;1157726;886230;1426448
23100;1111418;810033;1537844
23200;1129446;777373;1489421
23300;1154073;833744;1471205
23400;1154261;886884;1471926
23500;1185893;944390;1606844
23600;1179803;923641;1527925
23700;1183953;890456;1522241
23800;1174552;956399;1661678
23900;1181078;866545;1560956
24000;1189531;859205;1517364
24100;1218316;895683;1523543
24200;1204006;937028;1593606
24300;1184360;912563;1522660
24400;1222085;853558;1618878
24500;1211691;859899;1504440
24600;1237732;930502;1632199
24700;1205402;889599;1472926
24800;1260807;907311;1505157
24900;1219171;888632;1531110
25000;1264714;930497;1596479
25100;1278433;963999;1596587
25200;1292375;963251;1610115
25300;1248564;968305;1538330
25400;1259152;923082;1670492
25500;1296722;990217;1674535
25600;1293472;1043327;1616445
25700;1297200;944378;1708924
25800;1287270;966993;1686360
25900;1296141;993735;1671729
26000;1282739;978796;1785342
26100;1316462;916244;1687283
26200;1333896;1029736;1657810
26300;1307344;1065047;1697773
26400;1317830;990625;1655399
26500;1331704;1032495;1698748
26600;1343937;968564;1737440
26700;1347286;1032271;1644097
26800;1355382;1005807;1844375
26900;1348099;1033370;1766958
27000;1337367;959908;1612548
27100;1354338;1019399;1807188
27200;1375846;982878;1961846
27300;1395688;1079100;1729033
27400;1390716;1095970;1764896
27500;1392431;1102939;1755157
27600;1360152;1031767;1730405
27700;1427395;1097812;1796751
27800;1415987;1057473;1857334
27900;1411866;1056669;2049745
28000;1416812;1018807;1720468
28100;1426308;1080707;1846099
28200;1438664;1105973;1783037
28300;1463787;1043500;2079327
28400;1434321;1092373;1800282
28500;1474251;1069435;1809048
28600;1452805;1132057;1888748
28700;1467304;996163;1777215
28800;1450559;1048334;1779715
28900;1499556;1162052;1984021
29000;1511586;1176763;1823441
29100;1494659;1054911;1901925
29200;1465356;1137644;1951562
29300;1492198;1153955;1881793
29400;1536891;1080204;1960210
29500;1488549;1152668;2036822
29600;1483532;1115346;1835826
29700;1523013;1158313;1881930
29800;1525800;1073870;2071293
29900;1532026;1137128;1878672
30000;1562105;1176601;2026142
30100;1575238;1148069;1961944
30200;1546533;1178439;1976443
30300;1560218;1178370;1868544
30400;1537364;1164420;1936299
30500;1610158;1199462;2065004
30600;1588518;1235756;2109992
30700;1604890;1223811;2162665
30800;1605487;1192280;2099237
30900;1610820;1152747;2039824
31000;1599325;1276160;2084522
31100;1616997;1223523;2090337
31200;1655756;1266139;2069893
31300;1640019;1250664;2004294
31400;1642429;1247025;1971419
31500;1630806;1177412;2042763
31600;1651192;1200896;2013551
31700;1664979;1164010;2076441
31800;1660790;1263194;2061211
31900;1651213;1260947;2005771
32000;1678831;1282993;2176663
32100;1701054;1291904;2141002
32200;1706404;1291152;2226564
32300;1690015;1275392;2188212
32400;1663551;1230647;2387996
32500;1701967;1264785;2330680
32600;1707949;1243340;2127762
32700;1712962;1315862;2205549
32800;1712827;1202152;2323771
