n;avg;min;max
100;1380;725;2559
200;3265;2280;5861
300;5441;2449;9416
400;7950;5226;11744
500;10428;6904;15772
600;13749;9566;19548
700;16308;11156;24737
800;19375;10318;30856
900;22600;16540;29708
1000;25185;17625;36172
1100;28182;20407;43601
1200;31298;20647;42916
1300;34790;24315;45585
1400;39067;28902;56137
1500;42487;29900;56060
1600;45588;29445;58422
1700;48362;35273;71523
1800;53606;37631;80121
1900;56456;38003;81835
2000;60228;43544;83357
2100;62604;44563;94809
2200;68022;50427;84417
2300;69588;53029;92981
2400;75080;56049;112700
2500;76316;54785;95978
2600;82720;57048;113511
2700;86245;61471;122563
2800;91287;67601;137648
2900;93169;69578;128506
3000;96697;72420;136560
3100;99463;69508;135045
3200;106516;78575;142940
3300;107573;73707;151494
3400;111627;75963;147986
3500;117856;86103;157815
3600;120646;86184;163697
3700;124736;90701;189975
3800;128135;94183;185361
3900;134981;92350;173573
4000;132611;103992;198538
4100;141971;96294;198776
4200;144703;106028;201819
4300;150307;112112;234666
4400;154403;110952;227481
4500;157097;104258;210373
4600;162910;112807;215610
4700;170295;118636;213752
4800;174837;135468;219780
4900;174178;123930;236668
5000;177242;127509;236899
5100;183226;125404;247559
5200;186682;133718;247737
5300;193089;132582;251333
5400;193889;123877;242217
5500;200498;141931;263599
5600;208499;151162;258655
5700;208485;139112;276653
5800;213177;155635;297541
5900;216963;157954;326998
6000;222901;152541;307552
6100;224769;159101;293119
6200;234263;173413;325852
6300;232461;174331;317790
6400;240802;172520;329029
6500;242457;171586;339091
6600;249473;175884;360138
6700;251892;181502;337291
6800;252588;182227;342520
6900;262886;190335;419276
7000;271034;182169;332980
7100;269557;195373;357342
7200;275309;198939;360018
7300;282383;196982;352097
7400;285611;200042;361353
7500;295685;219203;377354
7600;293425;210710;368228
7700;299633;217560;387301
7800;303927;224628;394864
7900;311562;234305;399623
8000;310373;218473;416677
8100;308022;226232;443865
8200;321152;220379;419239
8300;320377;227018;423366
8400;336134;258253;477567
8500;343437;252847;499813
8600;338728;248589;465557
8700;344119;246677;481971
8800;346281;255925;486084
8900;351493;259821;482635
9000;355168;256708;448882
9100;358841;263071;450093
9200;361570;269554;469108
9300;372475;273403;474492
9400;376793;254730;476886
9500;374720;252179;498403
9600;381078;283075;472314
9700;381588;263741;548631
9800;385850;282249;509580
9900;402450;297605;499501
10000;401993;286754;521378
10100;408920;303312;528922
10200;411917;296285;531815
10300;420097;330771;558767
10400;424244;301888;612852
10500;434659;306658;572629
10600;425555;293665;555118
10700;435942;328883;552674
