n;compares
100;2253
200;5185
300;8686
400;12444
500;16665
600;21119
700;25207
800;30042
900;34671
1000;39729
1100;44281
1200;50354
1300;54342
1400;59898
1500;65281
1600;72353
1700;77526
1800;81481
1900;88998
2000;95004
2100;99814
2200;107419
2300;112902
2400;116598
2500;124144
2600;129837
2700;137337
2800;142479
2900;149083
3000;153205
3100;160390
3200;167459
3300;173021
3400;178389
3500;186663
3600;188749
3700;198290
3800;204641
3900;208689
4000;218228
4100;225145
4200;230025
4300;235149
4400;245097
4500;250754
4600;256611
4700;259857
4800;270601
4900;278455
5000;283357
5100;291466
5200;298438
5300;305372
5400;312674
5500;314233
5600;322577
5700;332333
5800;338706
5900;342882
6000;348458
6100;363699
6200;366048
6300;369393
6400;378500
6500;388788
6600;394485
6700;402005
6800;409017
6900;414824
7000;421417
7100;429444
7200;434513
7300;442700
7400;448427
7500;459533
7600;466649
7700;472408
7800;480033
7900;484640
8000;495623
8100;502326
8200;508523
8300;518080
8400;524800
8500;530995
8600;530989
8700;541285
8800;555061
8900;559376
9000;564247
9100;574846
9200;587507
9300;584765
9400;599418
9500;603338
9600;609862
9700;616827
9800;627097
9900;634450
10000;642955
10100;651180
10200;652383
10300;661898
10400;671504
10500;682489
10600;680799
10700;696683
10800;692602
10900;710879
11000;711434
11100;725428
11200;732970
11300;741772
11400;744874
11500;751101
11600;761216
11700;768841
11800;773218
11900;783871
12000;794419
12100;807115
12200;816799
12300;818076
12400;820131
12500;830818
12600;838833
12700;845240
12800;865321
12900;854256
13000;865575
13100;873767
13200;889980
13300;901904
13400;898929
13500;907356
13600;910853
13700;917456
13800;936500
13900;940808
14000;948345
