n;avg;min;max
100;269;99;545
200;571;227;1215
300;862;299;1774
400;1204;459;2409
500;1416;564;2468
600;1856;735;4251
700;2008;746;4556
800;2402;882;5434
900;2704;1122;4679
1000;2962;999;5406
1100;3202;1193;6682
1200;3523;1507;6835
1300;3692;1535;7177
1400;4280;1876;8813
1500;4307;1596;8529
1600;5017;2346;8759
1700;4854;1803;8148
1800;5147;2178;9211
1900;5888;2178;13251
2000;5956;2474;12494
2100;6103;2361;11984
2200;6390;2412;11541
2300;6930;3091;13927
2400;7012;2399;14830
2500;7658;2989;13037
2600;7771;2898;13578
2700;7827;2950;17197
2800;8438;3273;17112
2900;8675;3721;15484
3000;9027;3430;17509
3100;9219;3954;18651
3200;9834;4104;21809
3300;10051;4138;22219
3400;10591;4282;25940
3500;10715;4080;21667
3600;10435;3824;22087
3700;10582;4637;23207
3800;11778;4089;22852
3900;11486;5483;23609
4000;11656;5809;23107
4100;13338;4769;27968
4200;12793;5280;23004
4300;12592;5476;23843
4400;13557;6013;26493
4500;13196;4544;24868
4600;13436;6171;27099
4700;13275;5532;28632
4800;13712;6232;29230
4900;14840;7116;31839
5000;15142;6535;28992
5100;15319;5887;31495
5200;15306;6704;37501
5300;15117;5964;30709
5400;16293;5944;28151
5500;16559;7251;35187
5600;16445;6665;37760
5700;17711;6816;36746
5800;17811;6780;33285
5900;17608;6528;35671
6000;18131;7094;41524
6100;17889;7113;30858
6200;18510;7146;33593
6300;17796;6845;41204
6400;18005;8183;35172
6500;18153;7242;39873
6600;19268;8518;42706
6700;20486;7415;45998
6800;19604;7305;35885
6900;19089;7115;38745
7000;20765;8452;38734
7100;20079;8042;37088
7200;21960;8435;40335
7300;22720;8812;44537
7400;22776;7399;48886
7500;21380;8640;38967
7600;21076;9905;45209
7700;24025;9184;53590
7800;22625;9166;46204
7900;23673;10425;53220
8000;23346;9509;50048
8100;23513;8801;55160
8200;24714;9760;45309
8300;25665;10505;49125
8400;25657;9330;61374
8500;24461;9501;48146
8600;23600;10615;58663
8700;27179;10205;52609
8800;26780;10906;53250
8900;28152;11899;53474
9000;28060;10688;52321
9100;27647;9286;53727
9200;28508;10651;55590
9300;28700;11624;53678
9400;27992;10071;61649
9500;28213;10641;52839
9600;28489;9897;50211
9700;29605;10583;64719
9800;29963;11820;59223
9900;31331;12360;58225
10000;29557;11112;54442
10100;29971;12118;54445
10200;31645;13078;63820
10300;31382;11548;69205
10400;29895;13015;62167
10500;31173;13522;57981
10600;32888;12640;77566
10700;31093;11173;58332
10800;33482;15560;65605
10900;32585;12406;75952
11000;33941;14661;71040
11100;33329;13541;73958
11200;33728;14334;60216
11300;34257;14384;65468
11400;33754;14668;59872
11500;34951;14426;65268
11600;33320;12088;63594
11700;37606;15643;70161
11800;33551;12934;73445
11900;36171;13766;69949
12000;36074;15562;83312
12100;35430;15516;66084
12200;36084;13282;66670
12300;36430;14606;73303
12400;34466;14358;60909
12500;39667;19171;79684
12600;37789;19039;78894
12700;39344;15687;74740
12800;40186;16538;79984
12900;37577;13326;74536
13000;38142;15449;85627
13100;41765;20125;90483
13200;39625;17385;76580
13300;39168;15049;74442
13400;40283;16420;93558
13500;40330;16048;79160
13600;40614;18136;88082
13700;39954;16760;76188
13800;40387;20503;78740
13900;42008;14564;86537
14000;41467;17030;82076
14100;43127;17991;73998
14200;42382;17492;83432
14300;43971;16695;91668
14400;45023;16175;93121
14500;41367;15794;88889
14600;45663;19900;74079
14700;44038;15979;100614
14800;42786;16681;102017
14900;44648;15840;77679
15000;43067;17247;80805
15100;46270;15521;93821
15200;45307;19461;96059
15300;45670;18691;96166
15400;47937;22066;84663
15500;46042;23721;106331
15600;45054;18925;87334
15700;48994;17393;98671
15800;47246;19804;93150
15900;48779;18001;98914
16000;49253;19863;91776
16100;48510;21303;83126
16200;49837;19631;106812
16300;47233;20794;101239
16400;48633;17652;88164
16500;49542;18669;109372
16600;49916;17781;109059
16700;48205;19954;96305
16800;50805;17332;97421
16900;48031;23298;117807
17000;50472;23010;114976
17100;52139;17577;102900
17200;52663;18044;93495
17300;50813;24530;106811
17400;54388;20256;100947
17500;51551;18241;105661
17600;54926;21957;122309
17700;52542;22946;108136
17800;57302;23991;130169
17900;56221;21304;110309
18000;51860;23578;105613
18100;53261;23550;121046
18200;52892;20862;106166
18300;54787;25466;106685
18400;54526;23388;122613
18500;54115;23903;124529
18600;56689;23464;122396
18700;53828;21195;107307
18800;59160;22322;118466
18900;58157;24881;124155
19000;55928;21829;111240
19100;54657;26510;126421
19200;56523;25997;106779
19300;55933;24282;116793
19400;54614;21772;112639
19500;60801;23573;123100
19600;59319;21374;121806
19700;60477;23647;140556
19800;60332;28057;109632
19900;62838;24874;129587
20000;61826;27710;110392
20100;62891;29496;107632
20200;57342;25346;100441
20300;61129;22599;120396
20400;60169;27995;116820
20500;61535;21600;137155
20600;61460;22182;135065
20700;56629;24513;118934
20800;61570;22752;131619
20900;59324;23368;111735
21000;63252;23898;126202
21100;65251;29583;160596
21200;63313;23252;117630
21300;62370;30386;114718
21400;68652;27309;122016
21500;65002;28504;113539
21600;62466;29579;115537
21700;68198;30701;112905
21800;65906;24433;129175
21900;64296;27861;133511
22000;66629;24586;121436
22100;62833;29333;126665
22200;67281;25445;140351
22300;72033;25265;130716
22400;64348;30022;122162
22500;66554;26627;124108
22600;71055;28594;145661
22700;70448;28061;133131
22800;69107;27025;129371
22900;70976;23634;156728
23000;68904;29132;157029
23100;70247;26839;131843
23200;68791;24731;124191
23300;66883;25724;118417
23400;68540;28313;129141
23500;73500;31892;162876
23600;70159;30673;146356
23700;68041;26643;146879
23800;73566;29919;154489
23900;75663;25405;144428
24000;72190;25888;187592
24100;72924;32181;136941
24200;71059;32213;132042
24300;73103;29857;135458
24400;73679;32533;147214
24500;71138;30448;156524
24600;74763;30039;139501
24700;71550;36038;141367
24800;77236;28623;151374
24900;71948;32164;140055
25000;74138;28811;135226
25100;75486;29405;140164
25200;75127;32383;130141
25300;79752;25709;140555
25400;76225;34457;165474
25500;76063;33825;172099
25600;75262;33760;145882
25700;75326;32029;153765
25800;78179;29087;134758
25900;80682;34509;136777
26000;79017;33032;170453
26100;75003;29884;144681
26200;74868;30014;157994
26300;82158;29166;164491
26400;80925;31332;141000
26500;79434;27422;159803
26600;81589;34127;170711
26700;79412;30084;173784
26800;79001;31966;142987
26900;84510;32613;173531
27000;77586;27552;170386
27100;83433;30970;164998
27200;75077;28426;160972
27300;84376;32070;172814
27400;85176;30300;191263
27500;80939;31687;155868
27600;85263;30770;178139
27700;81383;39574;186172
27800;81150;36561;192321
27900;83069;30999;163129
28000;85990;41350;144122
28100;82759;37172;156712
28200;86383;32517;208693
28300;84176;31495;182660
28400;87925;32539;173980
28500;85809;29412;182611
28600;87093;34952;151055
28700;89824;32293;180527
28800;85348;31890;149471
28900;89313;33245;175076
29000;87919;35991;159971
29100;83109;36772;153450
29200;87682;42163;191033
29300;84727;33724;147950
29400;89687;32884;201919
29500;87692;31027;172409
29600;90382;30866;164190
29700;85936;34800;162940
29800;89144;34075;173865
29900;86651;34317;168273
30000;90247;43183;193550
30100;88265;40149;174502
30200;89901;31974;160256
30300;97764;40279;221267
30400;93933;31118;187467
30500;90442;36568;221963
30600;88614;39285;193626
30700;90774;43909;170388
30800;96191;32507;183666
30900;94854;38341;201087
31000;92001;36849;219924
31100;88204;40765;195219
31200;98018;49832;176136
31300;87190;31895;188480
31400;92530;41992;178065
31500;91955;35404;184826
31600;92557;37250;199633
31700;90539;38424;183861
31800;99698;32528;189353
31900;92724;40048;187976
32000;98819;40761;207953
32100;101453;37883;238972
32200;95035;35833;172100
32300;97142;38704;219535
32400;96350;43702;208055
32500;100530;49891;312711
32600;99918;47239;207576
32700;96680;43980;216591
32800;100134;40551;205236
32900;97935;42768;175730
33000;94812;39650;178725
33100;104799;47374;186690
33200;101457;41533;204454
33300;103696;38727;227557
33400;104512;43650;195373
33500;102337;44924;200621
33600;96480;42272;193929
33700;105162;50919;217163
33800;100986;41148;191504
33900;102933;36727;266299
34000;112044;45484;217425
34100;111040;48447;204040
34200;101804;41940;244167
34300;102689;38014;227975
34400;103197;37346;203354
34500;103677;39605;191166
34600;106091;38865;223731
34700;109771;53203;210490
34800;106589;40692;207384
34900;106664;41422;217563
35000;102268;46326;210048
35100;102015;38339;235402
35200;106024;39120;204099
35300;106825;37859;205875
35400;104422;44276;213270
35500;100753;37732;199779
35600;104714;41347;220113
35700;111291;45196;190608
35800;106864;38371;221408
35900;112342;42319;235821
36000;106235;44615;200000
36100;110214;42989;202310
36200;109537;42014;242026
36300;109696;53960;226295
36400;109018;41715;244419
36500;111125;42389;231091
36600;114118;41304;214776
36700;113707;46424;239303
36800;110572;47779;241609
36900;113353;43476;253278
37000;113037;53000;216040
37100;119023;42334;263657
37200;106616;43404;226320
37300;106406;46187;174643
37400;107660;41420;270460
37500;113516;42604;246642
37600;114733;43376;242138
37700;113831;40929;232730
37800;107955;51382;223757
37900;111211;44007;257397
38000;112340;43862;210649
38100;113271;45443;219180
38200;113118;50501;218228
38300;114288;42669;269828
38400;117136;44525;218712
38500;119596;59894;249908
38600;110341;49228;251044
38700;111055;46534;205920
38800;115108;47227;213816
38900;114889;55527;251700
39000;111830;48709;223255
39100;115322;48919;228932
39200;113366;44605;232706
39300;112038;48509;213492
39400;114146;45580;248129
39500;119374;43974;213712
39600;120011;42266;221358
39700;115323;44666;201418
39800;119966;46871;257888
39900;113597;44405;264740
40000;124744;49269;256533
40100;118100;46243;235753
40200;117223;50176;247399
40300;120295;43066;242528
40400;119511;45548;255630
40500;124516;48483;215073
40600;116686;49185;228582
40700;121009;46972;272242
40800;122423;47650;242103
40900;132043;56218;259048
41000;133923;53012;265017
41100;125894;50504;235653
41200;121468;51730;234417
41300;125555;59730;276015
41400;119625;53616;234196
41500;124795;54352;277325
41600;119972;48291;216127
41700;127615;52786;282329
41800;119722;44995;235018
41900;127750;49271;220718
42000;121250;51887;301380
42100;130494;61629;252895
42200;120912;55839;213568
42300;128921;59421;266237
42400;122266;54672;242178
42500;124067;54410;214308
42600;122048;56374;263590
42700;124996;50439;262997
42800;136485;56225;322242
42900;128065;54613;281371
43000;127508;52349;270730
43100;122220;48846;237285
43200;125714;51241;288320
43300;136061;61802;268380
43400;132151;57402;268808
43500;128794;50686;232910
43600;125600;52821;267386
43700;132034;47687;261294
43800;135072;57334;262378
43900;121248;45627;255980
44000;121348;47805;244330
44100;138927;52234;269937
44200;128851;51767;254681
44300;134640;47434;257262
44400;138501;51286;244362
44500;129663;55325;251070
44600;142331;51411;324178
44700;144320;53064;305301
44800;129430;61712;320463
44900;135296;49692;276562
45000;126295;55375;252068
45100;134961;50736;288117
45200;131529;48463;315294
45300;133994;57622;313060
45400;136159;50141;264327
45500;139868;62774;268307
45600;128624;57393;249948
45700;141716;58624;360484
45800;136338;55420;269317
45900;146418;53682;288223
46000;139864;50543;270691
46100;140837;54981;276807
46200;143342;48877;309017
46300;140852;52620;279384
46400;142055;64095;297025
46500;146390;60654;297699
46600;139953;55741;282083
46700;139720;52330;339549
46800;135131;49546;292818
46900;145448;57961;288909
47000;135526;56984;316287
47100;139705;72611;262992
47200;136152;54877;304279
47300;138833;56792;298620
47400;135181;50009;296480
47500;145239;55738;278376
47600;150853;57666;310427
47700;142232;68602;285656
47800;141749;57829;297352
47900;133741;64030;306135
48000;144347;62419;315285
48100;144997;62871;277993
48200;139979;49409;283519
48300;142914;53105;337671
48400;145283;71852;279263
48500;140246;63371;319733
48600;139856;64134;324186
48700;148205;60851;269260
48800;138591;50797;303109
48900;142710;54776;288675
49000;140023;58654;285300
49100;148303;52897;301711
49200;138228;68165;272990
49300;150564;66869;296570
49400;152548;58398;294103
49500;146128;59802;292626
49600;145352;71635;271887
49700;141804;56545;277837
49800;156155;61057;283719
49900;148268;67954;276884
50000;151390;59095;255244
50100;148948;68501;283533
50200;151389;57530;286912
50300;152294;58006;351824
50400;147626;56402;303040
50500;147676;58937;366901
50600;155834;55820;342273
50700;153360;61646;288469
50800;145424;55086;288329
50900;158052;77154;300602
51000;153117;54632;252043
51100;145992;59688;254986
51200;147428;60257;281719
51300;157189;55824;299002
51400;159772;65763;282637
51500;150217;58512;370333
51600;160762;60819;269724
51700;147770;55797;323264
51800;154165;57431;264294
51900;152183;57943;256467
52000;154413;77840;341515
52100;152873;63418;307659
52200;148651;61968;272237
52300;158549;56854;332036
52400;159917;67606;291073
52500;150593;57577;334721
52600;157185;65598;342409
52700;156975;75595;281317
52800;150402;58956;271024
52900;149149;58404;314010
53000;157299;75428;341793
53100;154476;55230;328032
53200;157470;60210;309397
53300;155540;64763;301819
53400;160162;67351;379486
53500;159636;71134;290365
53600;159699;56641;326131
53700;157080;59522;316313
53800;169537;70016;303439
53900;167257;63265;372544
54000;164534;61223;312582
54100;163097;58218;317317
54200;171675;85369;294293
54300;161632;64782;283350
54400;156372;71682;283365
54500;169965;64428;290342
54600;164622;61547;300440
54700;155251;76528;308999
54800;165478;59428;285654
