n;avg;min;max
100;272;99;663
200;568;199;1255
300;872;299;1985
400;1146;399;2927
500;1455;539;3869
600;1739;599;5140
700;2078;699;4364
800;2389;799;5676
900;2624;899;5634
1000;2920;999;7318
1100;3255;1099;7947
1200;3581;1209;8722
1300;3884;1299;9229
1400;4094;1399;11173
1500;4544;1549;10370
1600;4726;1662;10568
1700;5099;1699;13207
1800;5314;1858;11774
1900;5623;1986;13174
2000;5873;1999;14542
2100;6247;2099;14775
2200;6558;2199;18471
2300;6778;2299;16222
2400;7086;2461;18398
2500;7399;2499;16802
2600;7729;2938;17187
2700;7948;2699;22092
2800;8354;2913;18815
2900;8640;2899;23121
3000;8911;3199;20506
3100;9188;3324;21358
3200;9549;3539;22518
3300;9910;3509;23206
3400;10162;3399;23948
3500;10242;3654;25995
3600;10711;4000;22930
3700;11034;3844;23492
3800;11287;3799;25435
3900;11409;4106;26411
4000;12003;4071;27863
4100;12290;4167;28084
4200;12646;4257;28647
4300;12883;4362;28056
4400;13081;4399;31132
4500;13453;4786;30246
4600;13985;4897;32871
4700;14202;5299;40284
4800;14300;5237;34929
4900;14703;5161;35070
5000;15119;5124;41005
5100;15135;5099;33992
5200;15608;5523;33260
5300;15407;5299;43083
5400;15792;5830;34122
5500;16544;5862;38744
5600;16935;6432;39619
5700;17061;6143;42525
5800;17162;6239;38976
5900;17321;6333;37896
6000;17560;6450;44103
6100;17782;6099;43784
6200;18777;6579;49328
6300;18955;6841;49536
6400;18970;6830;52289
6500;19268;7011;46359
6600;19610;6717;46430
6700;19893;6884;45336
6800;20332;7620;47716
6900;20815;7795;44734
7000;20990;6999;51062
7100;20777;7579;46679
7200;21359;7199;51742
7300;21652;7772;48603
7400;22312;7962;62347
7500;22470;7913;59243
7600;22718;8032;67432
7700;23081;8523;55186
7800;23040;7884;49543
7900;23741;8046;62952
8000;23707;8257;59740
8100;24803;8277;62639
8200;24637;8680;58656
8300;24940;8818;57256
8400;25475;9228;60114
8500;25337;9495;58991
8600;25947;9892;58802
8700;26138;9450;66828
8800;26581;9025;60633
8900;26920;9373;60487
9000;27552;9896;71425
9100;26986;9099;61361
9200;28132;9199;60861
9300;27951;9506;65205
9400;27872;10098;66424
9500;28895;9923;74494
9600;28750;11027;68195
9700;28664;10389;71638
9800;29685;11356;68882
9900;29902;11248;85339
10000;30254;11387;65465
10100;30869;10988;74376
10200;31159;11004;77348
10300;31141;11112;71719
10400;30969;10833;81178
10500;30866;10499;73586
10600;31904;11337;76993
10700;31692;10978;76310
10800;32291;11677;72524
10900;33260;11310;83818
11000;32531;12086;84155
11100;33157;11700;78244
11200;33923;11427;80107
11300;33688;12633;72166
11400;34389;12075;77291
11500;33987;12008;80980
11600;34648;11877;73212
11700;35408;11699;90118
11800;35603;12457;90044
11900;35525;12005;81090
12000;35267;13240;75106
12100;36841;12433;89925
12200;36151;13016;89518
12300;37238;12613;92814
12400;37549;13245;100327
12500;37485;12499;89418
12600;37204;13403;100151
12700;38433;12949;94180
12800;38349;12914;84206
12900;38817;12899;91601
13000;39036;13078;91467
13100;39679;13327;96358
13200;39941;14436;91726
13300;39267;14195;106482
13400;40706;14582;91072
13500;39863;15109;92246
13600;40346;14309;93607
13700;40226;14516;108385
13800;41505;14466;96945
13900;41942;15316;97055
14000;42607;14143;107468
14100;42444;14354;117528
14200;42527;15111;97880
14300;42670;14849;97135
14400;43531;16472;102530
14500;43434;14499;93573
14600;44033;15440;111150
14700;44387;15401;115631
14800;44704;15375;118607
14900;43864;15213;122007
15000;44442;15330;103496
15100;45375;15526;117896
15200;45390;17190;121692
15300;45174;16457;122219
15400;45934;15876;121987
15500;46983;15499;131758
15600;47532;16355;108605
15700;47457;17346;114293
15800;47496;16427;106962
15900;46871;16842;110721
16000;47023;16243;110706
16100;48563;16524;109571
16200;48619;18226;115020
16300;48640;17005;127549
16400;49092;18205;137263
16500;50162;18604;139702
16600;49977;17924;121388
16700;50444;17212;121332
16800;50390;17297;141855
16900;50498;18305;119897
17000;52261;18559;117445
17100;50811;19684;124002
17200;51967;18946;117404
17300;51294;18159;125339
17400;51469;18025;133032
17500;53408;19637;123050
17600;53159;19975;113389
17700;52314;19805;111043
17800;53074;19487;118447
17900;54123;19907;165004
18000;54011;18276;114446
18100;53209;18731;130363
18200;54046;18760;115447
18300;54298;18519;125614
18400;55674;19283;146695
18500;55326;21212;132646
18600;55989;19733;132826
18700;56016;21218;146464
18800;56352;19753;130095
18900;57529;19186;134855
19000;58394;19772;147696
19100;56380;20155;135307
19200;57847;20357;125977
19300;59232;22087;154779
19400;58046;21109;150776
19500;58375;20751;129002
19600;58387;20654;124668
19700;58747;19699;135272
19800;59450;20949;130298
19900;59477;20818;153158
20000;61076;21140;147121
20100;60095;22329;132915
20200;60250;20333;137358
20300;62005;21781;146647
20400;61087;20723;150448
20500;59952;21516;149233
20600;63037;21892;148257
20700;62088;21656;161733
20800;62615;22286;180041
20900;62812;22159;161310
21000;64083;23659;153136
21100;63754;21099;153495
21200;63619;21199;170457
21300;64190;22206;160290
