n;OSSelect;Select;RandSelect
5;2.5;9;6
6;2.84;11;8
7;2.77;14;10
8;2.88;18;12
9;3.39;24;15
10;4.39;26;17
11;3.54;34;18
12;3.7;47;24
13;5.44;45;25
14;4.89;51;25
15;5.65;53;31
16;4.39;57;33
17;4.62;56;35
18;5.89;60;36
19;4.64;69;41
20;5.92;83;44
21;5.52;88;44
22;5.42;111;48
23;6.1;114;52
24;6.5;119;51
25;5.97;131;54
26;5.83;127;57
27;7.32;132;62
28;5.96;149;64
29;7.56;149;67
30;6.99;156;69
31;7.42;164;74
32;6.17;181;79
33;6.84;191;80
34;7.29;192;76
35;7.09;200;81
36;6.77;211;88
37;7.55;225;82
38;8.74;237;88
39;7.74;246;95
40;8.36;239;105
41;8.16;258;99
42;7.72;255;105
43;8.47;259;107
44;7.79;263;107
45;8.94;269;109
46;8.56;283;114
47;8.6;286;125
48;9.32;287;126
49;9.89;299;119
50;8.89;309;134
51;8.77;332;125
52;11.15;341;132
53;9.87;365;139
54;9.5;360;150
55;10.7;370;141
56;8.92;379;144
57;8.74;352;153
58;10.11;355;145
59;11.93;367;156
60;9.61;413;159
61;10.34;435;153
62;11.51;436;157
63;10.96;449;164
64;10.69;451;172
65;11.05;476;169
66;11.45;481;170
67;9.99;474;193
68;13.07;485;171
69;11.56;488;183
70;12.21;496;188
71;9.58;457;195
72;11.83;522;199
73;11.57;528;188
74;13.37;538;204
75;11.56;537;194
76;11.35;551;195
77;12.46;571;208
78;11.54;564;222
79;14.68;577;210
80;14.45;590;204
81;11.24;624;220
82;12.77;662;219
83;12.5;638;223
84;14.38;658;234
85;14.14;675;217
86;15.09;663;227
87;14.34;664;230
88;13.82;702;238
89;12.62;735;231
90;13.01;703;230
91;12.99;757;269
92;13.64;704;259
93;15.37;778;258
94;12.75;710;267
95;14.58;722;265
96;15.32;752;256
97;14.3;794;274
98;14.42;818;257
99;13.47;850;266
100;14.05;832;267
101;15.32;872;280
102;15.91;874;279
103;14.11;899;290
104;16.3;884;283
105;15.02;900;279
106;14.68;873;285
107;14.29;841;294
108;16.63;843;287
109;16.28;855;284
110;14.79;871;283
111;15.94;999;289
112;17.48;964;311
113;17.6;946;307
114;16.51;966;337
115;14.83;978;313
116;15.31;954;317
117;16.68;987;312
118;17.23;1005;318
119;17.49;1026;321
120;15.57;1024;324
121;16.46;952;335
122;15.8;1078;333
123;18.15;1083;341
124;18.28;1126;331
125;18.21;1148;335
126;17.31;1164;332
127;15.68;1220;363
128;18.18;1178;336
129;18.64;1264;352
130;19.72;1220;352
131;16.84;1238;394
132;18.74;1374;365
133;20.61;1379;376
134;16.49;1372;366
135;18.6;1362;363
136;18.38;1297;384
137;22.3;1399;361
138;18.24;1414;412
139;19.22;1438;365
140;19.02;1405;395
141;18.8;1364;404
142;25.12;1325;389
143;21.34;1283;395
144;21.2;1295;398
145;19.37;1482;395
146;19.35;1316;408
147;19.94;1475;404
148;18.9;1484;416
149;22.76;1420;440
150;18.79;1492;421
151;20.33;1544;420
152;20.49;1518;421
153;21.89;1542;437
154;18.04;1531;436
155;19.61;1526;424
156;20.51;1532;434
157;20.74;1398;447
158;20.57;1382;439
159;22.52;1390;428
160;19.71;1404;454
161;19.63;1576;470
162;22.12;1458;448
163;22.19;1490;462
164;20.84;1548;486
165;23.53;1517;495
166;20.52;1494;489
167;23.72;1705;466
168;22.37;1615;513
169;23.0;1629;444
170;25.11;1654;493
171;26.92;1447;470
172;23.47;1654;487
173;22.54;1696;463
174;24.81;1691;517
175;22.91;1690;513
176;23.75;1693;502
177;22.82;1760;517
178;21.59;1757;494
179;22.29;1804;545
180;21.83;1799;534
181;23.23;1884;499
182;21.71;1944;507
183;24.23;2026;537
184;24.91;1959;494
185;26.61;1929;491
186;26.77;2008;521
187;23.25;2079;506
188;27.81;2064;533
189;23.74;2121;573
190;28.93;2025;542
191;24.9;2048;529
192;23.21;1892;560
193;25.1;1966;537
194;25.34;1892;543
195;27.53;1982;558
196;26.51;1874;539
197;25.95;2240;539
198;24.88;2198;560
199;24.88;2342;588
200;25.32;2200;563
201;24.84;2146;554
202;29.68;2388;554
203;31.67;2299;578
204;26.6;2297;590
205;26.97;2317;594
206;26.86;2072;584
207;27.97;1943;597
208;28.31;1975;556
209;29.01;1966;587
210;28.1;2004;583
211;27.1;2186;582
212;26.06;2094;580
213;26.67;2064;604
214;28.27;2201;584
215;26.78;2067;648
216;32.05;2141;576
217;31.75;2159;579
218;28.73;2166;606
219;28.41;2214;626
220;31.4;2212;601
221;28.94;2090;630
222;27.19;2412;636
223;26.44;2383;623
224;29.6;2397;640
225;29.93;2409;626
226;25.96;2329;639
227;29.82;2465;657
228;27.76;2486;635
229;30.67;2514;641
230;29.48;2523;664
231;29.05;2626;675
232;34.72;2781;676
233;30.42;2560;665
234;34.23;2781;644
235;31.47;2741;633
236;29.06;2831;661
237;32.92;2832;690
238;33.04;2832;701
239;29.5;2888;708
240;29.0;2818;708
241;27.88;2872;685
242;33.05;2538;678
243;28.33;2636;687
244;31.61;2566;698
245;31.91;2641;741
246;30.07;2688;730
247;29.81;2985;697
248;29.72;2965;741
249;31.8;2935;707
250;32.12;2784;685
251;36.49;2905;691
252;34.91;2999;715
253;33.17;3023;720
254;33.06;3067;735
255;31.69;2969;723
256;31.52;2763;700
257;30.4;2583;718
258;31.59;2578;755
259;35.03;2623;775
260;30.39;2860;728
261;33.06;2793;771
262;36.4;2707;750
263;33.69;2763;761
264;37.63;2724;754
265;34.94;2741;727
266;37.56;2726;768
267;38.66;2859;736
268;36.68;2852;780
269;39.17;3071;740
270;31.29;2897;793
271;34.8;2639;802
272;32.04;3165;808
273;35.49;3059;814
274;32.89;3116;785
275;33.27;3243;772
276;33.43;3138;829
277;35.31;3352;771
278;36.59;3345;798
279;32.93;3301;790
280;36.11;3304;853
281;34.84;3347;850
282;36.77;3433;799
283;34.82;3439;852
284;36.43;3471;793
285;33.47;3385;822
286;36.27;3180;888
287;37.28;3202;857
288;33.74;3240;810
289;35.52;3310;851
290;36.22;3286;838
291;38.03;3347;806
292;35.23;3086;872
293;39.28;3091;845
294;41.68;3092;841
295;35.41;3136;844
296;36.66;3180;900
297;36.17;3331;889
298;42.1;3435;819
299;37.12;3477;871
300;41.26;3400;883
301;35.07;3478;876
302;45.09;3493;865
303;42.31;3543;905
304;37.75;3517;859
305;43.1;3616;883
306;39.2;3500;940
307;35.89;3297;939
308;39.56;3270;927
309;39.13;3461;863
310;37.6;3468;873
311;36.91;3542;895
312;37.01;3403;909
313;44.27;3469;908
314;41.73;3379;907
315;40.05;3497;934
316;44.9;3643;883
317;37.19;3481;915
318;48.1;3525;921
319;37.26;3782;934
320;37.35;3528;926
321;37.51;3276;959
322;45.23;3552;902
323;40.98;3800;951
324;45.93;3768;989
325;40.0;3547;868
326;39.29;3911;924
327;38.21;3833;945
328;41.41;3868;948
329;40.35;3979;986
330;37.05;3846;957
331;42.98;4079;928
332;42.66;4091;931
333;41.57;4080;926
334;45.41;4038;980
335;39.84;4074;1007
336;39.75;4034;956
337;49.77;4121;972
338;46.7;4258;953
339;39.74;4317;1004
340;52.19;4246;916
341;41.68;4356;997
342;39.05;4187;1017
343;44.82;3857;985
344;41.06;3927;990
345;46.65;4077;961
346;43.13;3931;974
347;46.36;4274;981
348;44.24;4266;949
349;41.1;4275;1064
350;42.46;4323;961
351;47.7;4298;1021
352;42.45;4450;1043
353;45.13;4479;956
354;46.14;4494;959
355;46.17;4514;991
356;50.03;4083;1024
357;44.56;3941;1013
358;45.8;3912;1026
359;44.85;3888;1065
360;43.46;3959;1031
361;46.28;4374;983
362;49.99;4115;1100
363;45.85;4277;1075
364;47.42;4259;1051
365;43.29;4150;1081
366;48.38;4209;1045
367;47.09;4510;1115
368;43.28;4275;1081
369;45.05;4246;1120
370;52.47;4281;1061
371;50.95;3968;1140
372;42.45;4868;1098
373;50.96;4874;1082
374;44.92;4847;1053
375;42.01;4649;1066
376;46.64;4868;1110
377;50.64;4864;1053
378;50.31;4881;1058
379;51.65;5128;1057
380;47.67;5063;1150
381;46.58;5193;1072
382;57.2;4966;1123
383;46.98;5101;1119
384;45.59;5262;1120
385;50.72;5207;1063
386;48.28;5073;1146
387;54.88;5254;1144
388;48.45;5239;1159
389;48.66;5285;1104
390;48.03;5326;1101
391;49.97;5599;1127
392;52.03;4617;1124
393;50.03;4632;1131
394;46.06;5373;1158
395;47.62;4712;1258
396;49.49;5003;1125
397;54.92;5303;1137
398;52.39;5424;1181
399;54.02;5355;1147
400;47.63;5464;1207
401;49.65;5437;1149
402;54.0;5595;1139
403;54.25;5338;1126
404;51.14;5631;1275
405;52.16;5494;1201
406;47.94;5047;1162
407;47.36;5005;1159
408;47.26;4727;1114
409;46.68;5005;1171
410;53.63;4797;1202
411;47.71;5167;1253
412;51.08;5007;1184
413;56.41;4749;1212
414;53.64;4742;1252
415;50.02;4705;1228
416;53.56;4771;1201
417;50.15;5358;1198
418;56.65;5479;1222
419;56.47;5056;1182
420;50.78;5152;1221
421;52.75;4806;1189
422;57.08;5567;1249
423;49.12;5630;1261
424;57.76;5466;1192
425;53.57;5758;1258
426;49.39;5692;1197
427;52.61;5627;1198
428;55.58;5899;1148
429;50.15;5647;1284
430;49.79;5926;1280
431;53.95;5876;1164
432;51.19;5831;1264
