n;OSSelect;Select;RandSelect
5;1102,21;9;6
6;1502,41;11;8
7;2102,98;15;11
8;2603,37;18;11
9;2702,9;23;15
10;3403,64;27;17
11;3503,06;35;20
12;4403,41;48;21
13;4303,27;47;26
14;5203,55;51;28
15;6204,31;53;28
16;7404,7;59;30
17;6003,59;57;36
18;7904,18;61;38
19;7503,8;70;42
20;9004,51;82;44
21;9604,43;88;44
22;10704,86;108;46
23;9304,18;113;52
24;11104,65;118;48
25;11304,42;130;57
26;13405,47;131;62
27;13705,07;134;64
28;15105,31;148;62
29;15205,35;152;67
30;14304,53;161;74
31;14604,78;168;76
32;20107,02;181;75
33;15204,6;192;82
34;17004,99;199;85
35;18105,02;202;84
36;21206,38;212;89
37;24106,6;230;93
38;20505,35;237;95
39;30207,64;230;91
40;20805,08;243;98
41;22905,53;264;99
42;23105,57;247;107
43;24606,09;257;115
44;27406,08;269;100
45;24405,56;268;109
46;32006,49;279;108
47;30306,16;279;113
48;29605,65;297;123
49;27805,76;298;123
50;29906,33;299;134
51;32506,27;330;136
52;36607,34;359;141
53;30505,75;354;134
54;37207,36;363;143
55;34306,51;367;148
56;33205,77;377;146
57;35906,27;348;153
58;39906,87;365;154
59;43107,01;364;157
60;41007,0;384;157
61;46707,53;429;156
62;35505,54;443;159
63;42806,79;454;162
64;41706,55;461;177
65;43406,45;468;159
66;44506,89;481;177
67;52807,66;487;174
68;41706,02;484;173
69;43706,48;488;186
70;48706,68;501;189
71;53907,58;474;179
72;55607,37;522;194
73;48907,4;520;198
74;50006,95;536;203
75;49206,76;549;200
76;57707,45;553;200
77;51306,53;570;199
78;53406,77;584;207
79;48906,47;587;206
80;55107,06;595;214
81;66508,35;647;214
82;64707,82;654;227
83;58707,67;649;209
84;57707,0;724;238
85;59406,95;663;227
86;64607,32;677;228
87;60607,16;697;240
88;65406,97;683;226
89;76708,69;739;238
90;58406,3;744;252
91;63406,83;719;253
92;60406,67;690;244
93;61206,69;715;260
94;61806,56;708;268
95;71707,38;694;254
96;82208,36;736;270
97;70407,68;781;280
98;78007,77;802;266
99;76608,26;823;274
100;78007,53;816;270
101;70907,18;851;271
102;76607,05;899;260
103;75207,27;912;275
104;80707,7;913;288
105;72706,62;903;286
106;78907,32;861;272
107;77307,19;840;296
108;89407,97;842;295
109;79107,25;853;294
110;80107,08;880;336
111;89008,11;985;293
112;85707,33;924;327
113;90308,27;963;318
114;80707,38;954;308
115;84407,36;962;316
116;89708,0;958;323
117;83707,32;985;339
118;85307,37;991;337
119;90508,07;1036;345
120;92507,97;1026;338
121;87807,12;962;328
122;94807,59;1124;333
123;90207,81;1052;344
124;89907,02;1128;342
125;91407,3;1158;337
126;104407,96;1091;342
127;105308,28;1185;354
128;96807,54;1220;369
129;103907,91;1300;368
130;107008,31;1208;356
131;98707,17;1335;359
132;130009,92;1320;348
133;102307,7;1367;390
134;99407,2;1395;364
135;122108,65;1312;353
136;107408,29;1337;352
137;111608,46;1376;375
138;108107,87;1367;361
139;107207,17;1444;360
140;120609,6;1364;394
141;113308,2;1453;389
142;120407,92;1318;381
143;110907,34;1315;388
144;110907,74;1298;408
145;110107,99;1272;424
146;117908,1;1301;388
147;110107,71;1455;392
148;125308,67;1503;415
149;125408,31;1432;410
150;116607,8;1491;417
151;125908,41;1493;415
152;143909,61;1511;423
153;125708,24;1559;426
154;138109,34;1594;433
155;128508,16;1559;411
156;127208,01;1592;438
157;129007,5;1384;451
158;139408,9;1379;458
159;127808,16;1540;443
160;138208,88;1401;473
161;129608,25;1603;467
162;146408,45;1435;446
163;130707,99;1403;448
164;129007,77;1440;465
165;144508,56;1477;435
166;131608,2;1466;470
167;142108,58;1578;463
168;150109,13;1586;451
169;140108,24;1633;472
170;148408,75;1621;490
171;148408,84;1508;461
172;157109,07;1727;509
173;143408,47;1699;504
174;159008,67;1693;487
175;141307,94;1706;493
176;140008,13;1738;522
177;148208,17;1883;503
178;180910,43;1809;510
179;151107,88;1811;497
180;152508,43;1804;516
181;152308,19;1900;475
182;158308,94;1945;488
183;152208,52;1951;538
184;146108,07;1901;521
185;176509,97;1977;519
186;179509,54;1979;548
187;152607,7;2004;533
188;175609,26;2107;551
189;153208,17;2106;500
190;171909,28;2160;558
191;155407,52;2236;519
192;156008,4;1873;570
193;171508,65;1908;535
194;178709,32;1963;580
195;174609,43;1950;543
196;175308,84;1931;578
197;162408,06;2190;555
198;180308,95;2159;579
199;158708,13;2215;566
200;174908,35;2192;523
201;169408,74;2279;564
202;191009,12;2392;559
203;167008,22;2278;568
204;197310,02;2311;566
205;170908,34;2321;573
206;180308,3;2077;612
207;175608,69;1959;559
208;187209,41;1997;561
209;201209,9;1955;590
210;171708,11;1977;577
211;183708,42;2157;602
212;186908,77;2024;612
213;185008,67;2039;607
214;187408,86;2062;599
215;172408,12;2101;624
216;191709,04;2132;595
217;185308,6;2167;637
218;184809,4;2213;610
219;199909,1;2201;612
220;185408,23;2190;630
221;197608,84;2027;651
222;197508,85;2358;603
223;216209,62;2285;626
224;222309,79;2525;650
225;190008,26;2374;624
226;201708,75;2370;620
227;195408,71;2496;669
228;210509,63;2546;637
229;190008,23;2455;645
230;211609,07;2474;686
231;228709,94;2672;664
232;209208,76;2749;667
233;201808,68;2642;676
234;211308,84;2648;704
235;206109,04;2794;690
236;216309,0;2745;688
237;199408,32;2866;700
238;232810,04;2709;653
239;200508,32;2837;684
240;225909,57;2743;688
241;205408,59;2876;705
242;226608,95;2583;702
243;206607,95;2591;683
244;207608,94;2530;698
245;236009,42;2694;708
246;207208,23;2616;684
247;242909,4;2918;706
248;219808,65;2792;715
249;213508,75;2959;772
250;217008,67;2871;724
251;230309,49;2888;712
252;218908,67;2953;715
253;220008,28;2976;734
254;237609,24;2977;736
255;235009,27;2959;749
256;229008,9;2736;742
257;244809,53;2620;784
258;235209,06;2515;720
259;243209,35;2780;731
260;218708,85;2784;771
261;258809,94;2799;754
262;258010,19;2716;717
263;235108,23;2722;793
264;253209,3;2746;831
265;255509,26;2761;764
266;250309,61;2813;740
267;253009,6;2862;806
268;266710,14;2870;772
269;295009,91;2766;786
270;247808,96;2845;742
271;252609,66;2617;744
272;248609,19;3097;757
273;262809,05;3106;774
274;293410,45;3181;780
275;254309,54;3200;783
276;240109,06;3137;815
277;256008,57;3297;829
278;277909,91;3284;790
279;295110,98;3359;816
280;254809,12;3309;827
281;264509,19;3311;849
282;251808,91;3369;812
283;291010,93;3283;834
284;279409,64;3345;816
285;238308,08;3399;790
286;262409,11;3157;837
287;275709,22;3254;866
288;283509,82;3262;831
289;270409,23;3255;783
290;295110,45;3262;839
291;287209,27;3355;794
292;326411,38;3058;816
293;277409,22;3125;910
294;332010,95;3394;850
295;258908,79;3055;859
296;265309,3;3098;897
297;304410,6;3434;798
298;307610,19;3399;850
299;266008,86;3436;861
300;275809,17;3462;804
301;304710,25;3469;794
302;288909,13;3471;830
303;285109,45;3441;828
304;289509,73;3625;857
305;286109,32;3541;938
306;307110,2;3493;877
307;264508,19;3195;864
308;327610,91;3235;873
309;291209,16;3273;939
310;337011,07;3330;847
311;288108,92;3572;856
312;304509,71;3374;923
313;325710,09;3410;921
314;294509,83;3328;939
315;284309,09;3439;890
316;288709,01;3410;959
317;288809,23;3544;973
318;283508,82;3429;907
319;283708,89;3472;958
320;300909,17;3512;963
321;315809,84;3268;895
322;297009,32;3679;893
323;345310,9;3695;931
324;314909,79;3659;911
325;346610,72;3711;919
326;295209,11;3725;912
327;330309,89;3858;952
328;292208,47;4013;949
329;332110,38;3963;925
330;318609,87;4024;936
331;318110,36;3994;927
332;325609,75;4015;920
333;324110,02;4101;1012
334;310309,34;4103;973
335;295808,88;4068;988
336;359410,39;4127;999
337;309508,83;4061;953
338;305209,29;4206;955
339;317709,17;4139;952
340;336209,95;4285;1004
341;343209,92;4299;990
342;306909,17;3864;955
343;326909,39;3975;983
344;319809,2;3827;972
345;341509,69;4032;953
346;349210,6;3936;1024
347;319309,03;4313;992
348;397811,5;4341;1052
349;371910,67;4201;986
350;337509,45;4369;1039
351;325009,42;4265;1071
352;361309,93;4420;1070
353;385111,07;4423;1059
354;341909,63;4526;1059
355;368910,33;4490;1010
356;340209,72;4084;990
357;329709,39;3845;990
358;342009,55;3834;1013
359;359109,99;3919;1033
360;354710,26;4041;1043
